"path_id"	"full_path_length"	"testable_path_length"	"mutated_genes"	"proportion_mutated"	"proportion_of_cohort_w_mutated_gene_in_path"	"Num_patient_with_mutated_gene_.s._in_path"	"count_of_mutated_genes_in_path_cross_cohort"	"max_in_one_gene"	"min_in_one_gene"	"hyperg_p_value"	"hyperg_p_w_FDR"
"RNA Polymerase I Transcription"	"RNA Polymerase I Transcription"	78	78	56	0.717948717948718	0.2465483234714	125	164	9	0	0.972352956882074	1
"APC/C:Cdc20 mediated degradation of Cyclin B"	"APC/C:Cdc20 mediated degradation of Cyclin B"	21	21	15	0.714285714285714	0.0631163708086785	32	36	7	0	0.811192680136805	1
"Apoptotic factor-mediated response"	"Apoptotic factor-mediated response"	7	7	5	0.714285714285714	0.0335305719921105	17	17	9	0	0.609444374571327	1
"CREB phosphorylation"	"CREB phosphorylation"	7	7	5	0.714285714285714	0.0394477317554241	20	20	7	0	0.609444374571327	1
"CREB phosphorylation through the activation of Adenylate Cyclase"	"CREB phosphorylation through the activation of Adenylate Cyclase"	7	7	5	0.714285714285714	0.100591715976331	51	56	24	0	0.609444374571327	1
"Glucagon-like Peptide-1 (GLP1) regulates insulin secretion"	"Glucagon-like Peptide-1 (GLP1) regulates insulin secretion"	42	42	30	0.714285714285714	0.222879684418146	113	145	24	0	0.918061132510343	1
"Golgi Cisternae Pericentriolar Stack Reorganization"	"Golgi Cisternae Pericentriolar Stack Reorganization"	14	14	10	0.714285714285714	0.0512820512820513	26	28	8	0	0.738284397593506	1
"Inflammasomes"	"Inflammasomes"	21	21	15	0.714285714285714	0.0986193293885602	50	56	14	0	0.811192680136805	1
"Lagging Strand Synthesis"	"Lagging Strand Synthesis"	21	21	15	0.714285714285714	0.0670611439842209	34	35	5	0	0.811192680136805	1
"Leading Strand Synthesis"	"Leading Strand Synthesis"	14	14	10	0.714285714285714	0.0433925049309665	22	22	4	0	0.738284397593506	1
"Negative epigenetic regulation of rRNA expression"	"Negative epigenetic regulation of rRNA expression"	77	77	55	0.714285714285714	0.244575936883629	124	162	9	0	0.976026215244221	1
"PERK regulates gene expression"	"PERK regulates gene expression"	28	28	20	0.714285714285714	0.0788954635108481	40	45	5	0	0.859348345369296	1
"Polymerase switching"	"Polymerase switching"	14	14	10	0.714285714285714	0.0433925049309665	22	22	4	0	0.738284397593506	1
"Polymerase switching on the C-strand of the telomere"	"Polymerase switching on the C-strand of the telomere"	14	14	10	0.714285714285714	0.0433925049309665	22	22	4	0	0.738284397593506	1
"Regulation of gene expression in late stage (branching morphogenesis) pancreatic bud precursor cells"	"Regulation of gene expression in late stage (branching morphogenesis) pancreatic bud precursor cells"	7	7	5	0.714285714285714	0.149901380670611	76	82	66	0	0.609444374571327	1
"Removal of the Flap Intermediate"	"Removal of the Flap Intermediate"	14	14	10	0.714285714285714	0.0473372781065089	24	24	5	0	0.738284397593506	1
"Scavenging by Class F Receptors"	"Scavenging by Class F Receptors"	7	7	5	0.714285714285714	0.106508875739645	54	57	43	0	0.609444374571327	1
"Uptake and function of anthrax toxins"	"Uptake and function of anthrax toxins"	14	14	10	0.714285714285714	0.0355029585798817	18	20	5	0	0.738284397593506	1
"Zinc efflux and compartmentalization by the SLC30 family"	"Zinc efflux and compartmentalization by the SLC30 family"	7	7	5	0.714285714285714	0.0256410256410256	13	14	5	0	0.609444374571327	1
"eNOS activation"	"eNOS activation"	7	7	5	0.714285714285714	0.0216962524654832	11	11	4	0	0.609444374571327	1
"Intrinsic Pathway for Apoptosis"	"Intrinsic Pathway for Apoptosis"	38	38	27	0.710526315789474	0.593688362919132	301	359	257	0	0.913645008172294	1
"G1/S-Specific Transcription"	"G1/S-Specific Transcription"	17	17	12	0.705882352941177	0.0493096646942801	25	28	7	0	0.797366754975287	1
"Global Genomic NER (GG-NER)"	"Global Genomic NER (GG-NER)"	34	34	24	0.705882352941177	0.132149901380671	67	79	9	0	0.909177397479842	1
"Metabolism of nitric oxide"	"Metabolism of nitric oxide"	17	17	12	0.705882352941177	0.0591715976331361	30	32	10	0	0.797366754975287	1
"Metabolism of porphyrins"	"Metabolism of porphyrins"	17	17	12	0.705882352941177	0.0433925049309665	22	23	4	0	0.797366754975287	1
"eNOS activation and regulation"	"eNOS activation and regulation"	17	17	12	0.705882352941177	0.0591715976331361	30	32	10	0	0.797366754975287	1
"NoRC negatively regulates rRNA expression"	"NoRC negatively regulates rRNA expression"	74	74	52	0.702702702702703	0.240631163708087	122	155	9	0	0.984830970032253	1
"Vpr-mediated nuclear import of PICs"	"Vpr-mediated nuclear import of PICs"	37	37	26	0.702702702702703	0.169625246548323	86	114	11	0	0.926720817436752	1
"Pre-NOTCH Expression and Processing"	"Pre-NOTCH Expression and Processing"	57	57	40	0.701754385964912	0.710059171597633	360	544	257	0	0.970411309499154	1
"Abacavir transport and metabolism"	"Abacavir transport and metabolism"	10	10	7	0.7	0.0591715976331361	30	31	15	0	0.713241279107033	1
"Calcitonin-like ligand receptors"	"Calcitonin-like ligand receptors"	10	10	7	0.7	0.0276134122287968	14	14	4	0	0.713241279107033	1
"Lipid digestion, mobilization, and transport"	"Lipid digestion, mobilization, and transport"	50	50	35	0.7	0.305719921104536	155	225	43	0	0.962379840901889	1
"MASTL Facilitates Mitotic Progression"	"MASTL Facilitates Mitotic Progression"	10	10	7	0.7	0.0355029585798817	18	18	5	0	0.713241279107033	1
"Removal of the Flap Intermediate from the C-strand"	"Removal of the Flap Intermediate from the C-strand"	10	10	7	0.7	0.0374753451676529	19	19	5	0	0.713241279107033	1
"SLBP independent Processing of Histone Pre-mRNAs"	"SLBP independent Processing of Histone Pre-mRNAs"	10	10	7	0.7	0.0394477317554241	20	20	8	0	0.713241279107033	1
"Tetrahydrobiopterin (BH4) synthesis, recycling, salvage and regulation"	"Tetrahydrobiopterin (BH4) synthesis, recycling, salvage and regulation"	10	10	7	0.7	0.0276134122287968	14	14	4	0	0.713241279107033	1
"Costimulation by the CD28 family"	"Costimulation by the CD28 family"	73	73	51	0.698630136986301	0.351084812623274	178	233	85	0	0.987114620046726	1
"APC-Cdc20 mediated degradation of Nek2A"	"APC-Cdc20 mediated degradation of Nek2A"	23	23	16	0.695652173913043	0.0670611439842209	34	40	7	0	0.874823549138888	1
"Telomere C-strand (Lagging Strand) Synthesis"	"Telomere C-strand (Lagging Strand) Synthesis"	23	23	16	0.695652173913043	0.0828402366863905	42	44	9	0	0.874823549138888	1
"FCERI mediated Ca+2 mobilization"	"FCERI mediated Ca+2 mobilization"	62	62	43	0.693548387096774	0.236686390532544	120	160	18	0	0.983313790875911	1
"Senescence-Associated Secretory Phenotype (SASP)"	"Senescence-Associated Secretory Phenotype (SASP)"	75	75	52	0.693333333333333	0.341222879684418	173	230	71	0	0.991075067563015	1
"AKT phosphorylates targets in the cytosol"	"AKT phosphorylates targets in the cytosol"	13	13	9	0.692307692307692	0.0571992110453649	29	32	7	0	0.782897889292892	1
"Activation of DNA fragmentation factor"	"Activation of DNA fragmentation factor"	13	13	9	0.692307692307692	0.0473372781065089	24	25	5	0	0.782897889292892	1
"Apoptosis induced DNA fragmentation"	"Apoptosis induced DNA fragmentation"	13	13	9	0.692307692307692	0.0473372781065089	24	25	5	0	0.782897889292892	1
"Metabolism of nucleotides"	"Metabolism of nucleotides"	78	78	54	0.692307692307692	0.256410256410256	130	167	15	0	0.992678710770898	1
"Purine salvage"	"Purine salvage"	13	13	9	0.692307692307692	0.029585798816568	15	16	3	0	0.782897889292892	1
"Trafficking and processing of endosomal TLR"	"Trafficking and processing of endosomal TLR"	13	13	9	0.692307692307692	0.0532544378698225	27	31	7	0	0.782897889292892	1
"p38MAPK events"	"p38MAPK events"	13	13	9	0.692307692307692	0.0848126232741617	43	45	28	0	0.782897889292892	1
"Processive synthesis on the lagging strand"	"Processive synthesis on the lagging strand"	16	16	11	0.6875	0.0512820512820513	26	27	5	0	0.832566780137644	1
"Synthesis of glycosylphosphatidylinositol (GPI)"	"Synthesis of glycosylphosphatidylinositol (GPI)"	16	16	11	0.6875	0.0374753451676529	19	21	4	0	0.832566780137644	1
"Citric acid cycle (TCA cycle)"	"Citric acid cycle (TCA cycle)"	19	19	13	0.684210526315789	0.0650887573964497	33	34	6	0	0.869259558869493	1
"ATF4 activates genes"	"ATF4 activates genes"	25	25	17	0.68	0.0670611439842209	34	36	5	0	0.91830055900345	1
"Activation of G protein gated Potassium channels"	"Activation of G protein gated Potassium channels"	25	25	17	0.68	0.0927021696252465	47	53	9	0	0.91830055900345	1
"G protein gated Potassium channels"	"G protein gated Potassium channels"	25	25	17	0.68	0.0927021696252465	47	53	9	0	0.91830055900345	1
"Inhibition  of voltage gated Ca2+ channels via Gbeta/gamma subunits"	"Inhibition  of voltage gated Ca2+ channels via Gbeta/gamma subunits"	25	25	17	0.68	0.0927021696252465	47	53	9	0	0.91830055900345	1
"Gap junction trafficking"	"Gap junction trafficking"	28	28	19	0.678571428571429	0.11439842209073	58	70	10	0	0.934857326316262	1
"RNA Polymerase I Chain Elongation"	"RNA Polymerase I Chain Elongation"	56	56	38	0.678571428571429	0.167652859960552	85	97	9	0	0.988245376407822	1
"RNA Polymerase I Transcription Termination"	"RNA Polymerase I Transcription Termination"	31	31	21	0.67741935483871	0.0927021696252465	47	53	9	0	0.947839584985738	1
"Interactions of Vpr with host cellular proteins"	"Interactions of Vpr with host cellular proteins"	40	40	27	0.675	0.171597633136095	87	115	11	0	0.972722350334178	1
"ARL13B-mediated ciliary trafficking of INPP5E"	"ARL13B-mediated ciliary trafficking of INPP5E"	3	3	2	0.666666666666667	0.00591715976331361	3	3	2	0	0.534983004369747	1
"ATF6-alpha activates chaperones"	"ATF6-alpha activates chaperones"	12	12	8	0.666666666666667	0.0493096646942801	25	27	8	0	0.825160265846142	1
"Activation of BMF and translocation to mitochondria"	"Activation of BMF and translocation to mitochondria"	3	3	2	0.666666666666667	0.00394477317554241	2	2	1	0	0.534983004369747	1
"Adrenaline signalling through Alpha-2 adrenergic receptor"	"Adrenaline signalling through Alpha-2 adrenergic receptor"	3	3	2	0.666666666666667	0.00986193293885602	5	6	3	0	0.534983004369747	1
"Arachidonate production from DAG"	"Arachidonate production from DAG"	3	3	2	0.666666666666667	0.0157790927021696	8	8	7	0	0.534983004369747	1
"Base-Excision Repair, AP Site Formation"	"Base-Excision Repair, AP Site Formation"	9	9	6	0.666666666666667	0.0236686390532544	12	12	3	0	0.769014025431516	1
"Ceramide signalling"	"Ceramide signalling"	3	3	2	0.666666666666667	0.00394477317554241	2	2	1	0	0.534983004369747	1
"Complement cascade"	"Complement cascade"	75	75	50	0.666666666666667	0.291913214990138	148	211	18	0	0.998097186399234	1
"DNA replication initiation"	"DNA replication initiation"	6	6	4	0.666666666666667	0.0276134122287968	14	14	9	0	0.684397241414989	1
"Detoxification of Reactive Oxygen Species"	"Detoxification of Reactive Oxygen Species"	27	27	18	0.666666666666667	0.0690335305719921	35	37	10	0	0.947328045319809	1
"Dopamine clearance from the synaptic cleft"	"Dopamine clearance from the synaptic cleft"	3	3	2	0.666666666666667	0.00986193293885602	5	5	4	0	0.534983004369747	1
"Formyl peptide receptors bind formyl peptides and many other ligands"	"Formyl peptide receptors bind formyl peptides and many other ligands"	9	9	6	0.666666666666667	0.0394477317554241	20	22	7	0	0.769014025431516	1
"Gap junction trafficking and regulation"	"Gap junction trafficking and regulation"	30	30	20	0.666666666666667	0.132149901380671	67	80	10	0	0.957795051405559	1
"Glutathione synthesis and recycling"	"Glutathione synthesis and recycling"	12	12	8	0.666666666666667	0.0355029585798817	18	18	4	0	0.825160265846142	1
"Heme degradation"	"Heme degradation"	6	6	4	0.666666666666667	0.0138067061143984	7	7	3	0	0.684397241414989	1
"Lysosome Vesicle Biogenesis"	"Lysosome Vesicle Biogenesis"	24	24	16	0.666666666666667	0.0927021696252465	47	54	11	0	0.933992418135608	1
"Metabolism of polyamines"	"Metabolism of polyamines"	15	15	10	0.666666666666667	0.0394477317554241	20	20	3	0	0.865075859003833	1
"Methionine salvage pathway"	"Methionine salvage pathway"	6	6	4	0.666666666666667	0.0138067061143984	7	7	3	0	0.684397241414989	1
"Nef mediated downregulation of CD28 cell surface expression"	"Nef mediated downregulation of CD28 cell surface expression"	3	3	2	0.666666666666667	0.00394477317554241	2	2	1	0	0.534983004369747	1
"Phosphorylation of proteins involved in the G2/M transition by Cyclin A:Cdc2 complexes"	"Phosphorylation of proteins involved in the G2/M transition by Cyclin A:Cdc2 complexes"	3	3	2	0.666666666666667	0.0177514792899408	9	9	7	0	0.534983004369747	1
"Post-chaperonin tubulin folding pathway"	"Post-chaperonin tubulin folding pathway"	18	18	12	0.666666666666667	0.0571992110453649	29	33	9	0	0.894553774802986	1
"Processing of DNA double-strand break ends"	"Processing of DNA double-strand break ends"	3	3	2	0.666666666666667	0.0118343195266272	6	6	5	0	0.534983004369747	1
"Processive synthesis on the C-strand of the telomere"	"Processive synthesis on the C-strand of the telomere"	12	12	8	0.666666666666667	0.0414201183431953	21	22	5	0	0.825160265846142	1
"Pyrimidine biosynthesis"	"Pyrimidine biosynthesis"	6	6	4	0.666666666666667	0.0216962524654832	11	11	6	0	0.684397241414989	1
"Pyrimidine metabolism"	"Pyrimidine metabolism"	24	24	16	0.666666666666667	0.104536489151874	53	57	15	0	0.933992418135608	1
"RA biosynthesis pathway"	"RA biosynthesis pathway"	21	21	14	0.666666666666667	0.0611439842209073	31	33	6	0	0.916850296980896	1
"RNA Polymerase I Promoter Opening"	"RNA Polymerase I Promoter Opening"	30	30	20	0.666666666666667	0.100591715976331	51	53	6	0	0.957795051405559	1
"Regulation of gap junction activity"	"Regulation of gap junction activity"	3	3	2	0.666666666666667	0.0236686390532544	12	12	10	0	0.534983004369747	1
"Repair synthesis for gap-filling by DNA polymerase in TC-NER"	"Repair synthesis for gap-filling by DNA polymerase in TC-NER"	15	15	10	0.666666666666667	0.0611439842209073	31	32	9	0	0.865075859003833	1
"Repair synthesis of patch ~27-30 bases long  by DNA polymerase"	"Repair synthesis of patch ~27-30 bases long  by DNA polymerase"	15	15	10	0.666666666666667	0.0611439842209073	31	32	9	0	0.865075859003833	1
"Retinoid cycle disease events"	"Retinoid cycle disease events"	9	9	6	0.666666666666667	0.0177514792899408	9	9	2	0	0.769014025431516	1
"Rhesus glycoproteins mediate ammonium transport."	"Rhesus glycoproteins mediate ammonium transport."	3	3	2	0.666666666666667	0.00986193293885602	5	5	3	0	0.534983004369747	1
"Serine biosynthesis"	"Serine biosynthesis"	3	3	2	0.666666666666667	0.00591715976331361	3	3	2	0	0.534983004369747	1
"Synthesis and interconversion of nucleotide di- and triphosphates"	"Synthesis and interconversion of nucleotide di- and triphosphates"	18	18	12	0.666666666666667	0.0611439842209073	31	32	13	0	0.894553774802986	1
"Synthesis of 5-eicosatetraenoic acids"	"Synthesis of 5-eicosatetraenoic acids"	6	6	4	0.666666666666667	0.0177514792899408	9	9	4	0	0.684397241414989	1
"Synthesis of PIPs at the ER membrane"	"Synthesis of PIPs at the ER membrane"	3	3	2	0.666666666666667	0.0157790927021696	8	8	7	0	0.534983004369747	1
"Synthesis of dolichyl-phosphate mannose"	"Synthesis of dolichyl-phosphate mannose"	3	3	2	0.666666666666667	0.00591715976331361	3	3	2	0	0.534983004369747	1
"Telomere C-strand synthesis initiation"	"Telomere C-strand synthesis initiation"	6	6	4	0.666666666666667	0.0276134122287968	14	14	9	0	0.684397241414989	1
"The NLRP1 inflammasome"	"The NLRP1 inflammasome"	3	3	2	0.666666666666667	0.0157790927021696	8	8	7	0	0.534983004369747	1
"Trafficking of dietary sterols"	"Trafficking of dietary sterols"	3	3	2	0.666666666666667	0.0256410256410256	13	13	8	0	0.534983004369747	1
"Transport of nucleotide sugars"	"Transport of nucleotide sugars"	9	9	6	0.666666666666667	0.0216962524654832	11	11	5	0	0.769014025431516	1
"Vasopressin-like receptors"	"Vasopressin-like receptors"	6	6	4	0.666666666666667	0.0315581854043393	16	16	9	0	0.684397241414989	1
"Vitamins B6 activation to pyridoxal phosphate"	"Vitamins B6 activation to pyridoxal phosphate"	3	3	2	0.666666666666667	0.0157790927021696	8	9	8	0	0.534983004369747	1
"c-src mediated regulation of Cx43 function and closure of gap junctions"	"c-src mediated regulation of Cx43 function and closure of gap junctions"	3	3	2	0.666666666666667	0.0236686390532544	12	12	10	0	0.534983004369747	1
"Role of phospholipids in phagocytosis"	"Role of phospholipids in phagocytosis"	62	62	41	0.661290322580645	0.366863905325444	186	250	85	0	0.996572984831636	1
"Pre-NOTCH Transcription and Translation"	"Pre-NOTCH Transcription and Translation"	41	41	27	0.658536585365854	0.696252465483235	353	505	257	0	0.985642279016396	1
"TRAF6 mediated IRF7 activation"	"TRAF6 mediated IRF7 activation"	32	32	21	0.65625	0.205128205128205	104	124	32	0	0.972910855248308	1
"Termination of O-glycan biosynthesis"	"Termination of O-glycan biosynthesis"	26	26	17	0.653846153846154	0.341222879684418	173	239	92	0	0.95813108166585	1
"Downstream TCR signaling"	"Downstream TCR signaling"	46	46	30	0.652173913043478	0.309664694280079	157	191	85	0	0.992458050858407	1
"Base Excision Repair"	"Base Excision Repair"	20	20	13	0.65	0.0611439842209073	31	34	6	0	0.934310531349705	1
"Resolution of Abasic Sites (AP sites)"	"Resolution of Abasic Sites (AP sites)"	20	20	13	0.65	0.0611439842209073	31	34	6	0	0.934310531349705	1
"Conversion from APC/C:Cdc20 to APC/C:Cdh1 in late anaphase"	"Conversion from APC/C:Cdc20 to APC/C:Cdh1 in late anaphase"	17	17	11	0.647058823529412	0.0532544378698225	27	29	7	0	0.917046840527301	1
"Gap-filling DNA repair synthesis and ligation in GG-NER"	"Gap-filling DNA repair synthesis and ligation in GG-NER"	17	17	11	0.647058823529412	0.0650887573964497	33	35	9	0	0.917046840527301	1
"Gap-filling DNA repair synthesis and ligation in TC-NER"	"Gap-filling DNA repair synthesis and ligation in TC-NER"	17	17	11	0.647058823529412	0.0650887573964497	33	35	9	0	0.917046840527301	1
"Phosphorylation of the APC/C"	"Phosphorylation of the APC/C"	17	17	11	0.647058823529412	0.0512820512820513	26	28	7	0	0.917046840527301	1
"G-protein activation"	"G-protein activation"	28	28	18	0.642857142857143	0.0710059171597633	36	38	4	0	0.973655118771741	1
"Regulation of IFNA signaling"	"Regulation of IFNA signaling"	25	25	16	0.64	0.0749506903353057	38	42	7	0	0.967337618791442	1
"Budding and maturation of HIV virion"	"Budding and maturation of HIV virion"	33	33	21	0.636363636363636	0.0650887573964497	33	38	6	0	0.986597491104959	1
"Binding and Uptake of Ligands by Scavenger Receptors"	"Binding and Uptake of Ligands by Scavenger Receptors"	76	76	48	0.631578947368421	0.349112426035503	177	266	43	0	0.999838884859044	1
"FCERI mediated NF-kB activation"	"FCERI mediated NF-kB activation"	57	57	36	0.631578947368421	0.175542406311637	89	109	10	0	0.99896800595361	1
"Mitotic Spindle Checkpoint"	"Mitotic Spindle Checkpoint"	19	19	12	0.631578947368421	0.0591715976331361	30	32	7	0	0.949357909325555	1
"Coenzyme A biosynthesis"	"Coenzyme A biosynthesis"	8	8	5	0.625	0.0118343195266272	6	6	2	0	0.8224367486752	1
"Erythrocytes take up carbon dioxide and release oxygen"	"Erythrocytes take up carbon dioxide and release oxygen"	8	8	5	0.625	0.0236686390532544	12	12	5	0	0.8224367486752	1
"Erythrocytes take up oxygen and release carbon dioxide"	"Erythrocytes take up oxygen and release carbon dioxide"	8	8	5	0.625	0.0236686390532544	12	12	5	0	0.8224367486752	1
"Nef Mediated CD8 Down-regulation"	"Nef Mediated CD8 Down-regulation"	8	8	5	0.625	0.0256410256410256	13	14	4	0	0.8224367486752	1
"O2/CO2 exchange in erythrocytes"	"O2/CO2 exchange in erythrocytes"	8	8	5	0.625	0.0236686390532544	12	12	5	0	0.8224367486752	1
"Orexin and neuropeptides FF and QRFP bind to their respective receptors"	"Orexin and neuropeptides FF and QRFP bind to their respective receptors"	8	8	5	0.625	0.0532544378698225	27	28	14	0	0.8224367486752	1
"Signal amplification"	"Signal amplification"	32	32	20	0.625	0.0690335305719921	35	37	4	0	0.989756457106858	1
"Synthesis of diphthamide-EEF2"	"Synthesis of diphthamide-EEF2"	8	8	5	0.625	0.0236686390532544	12	12	4	0	0.8224367486752	1
"Thrombin signalling through proteinase activated receptors (PARs)"	"Thrombin signalling through proteinase activated receptors (PARs)"	32	32	20	0.625	0.0769230769230769	39	42	8	0	0.989756457106858	1
"Thyroxine biosynthesis"	"Thyroxine biosynthesis"	8	8	5	0.625	0.0473372781065089	24	24	10	0	0.8224367486752	1
"VEGF binds to VEGFR leading to receptor dimerization"	"VEGF binds to VEGFR leading to receptor dimerization"	8	8	5	0.625	0.0650887573964497	33	36	12	0	0.8224367486752	1
"VEGF ligand-receptor interactions"	"VEGF ligand-receptor interactions"	8	8	5	0.625	0.0650887573964497	33	36	12	0	0.8224367486752	1
"Creation of C4 and C2 activators"	"Creation of C4 and C2 activators"	50	50	31	0.62	0.142011834319527	72	83	8	0	0.998850001927021	1
"Presynaptic function of Kainate receptors"	"Presynaptic function of Kainate receptors"	21	21	13	0.619047619047619	0.0986193293885602	50	54	20	0	0.969231000087323	1
"Chemokine receptors bind chemokines"	"Chemokine receptors bind chemokines"	55	55	34	0.618181818181818	0.100591715976331	51	62	5	0	0.99940228418171	1
"Resolution of AP sites via the single-nucleotide replacement pathway"	"Resolution of AP sites via the single-nucleotide replacement pathway"	13	13	8	0.615384615384615	0.0374753451676529	19	20	6	0	0.920250613090954	1
"Initial triggering of complement"	"Initial triggering of complement"	57	57	35	0.614035087719298	0.165680473372781	84	100	12	0	0.999626334792347	1
"Immunoregulatory interactions between a Lymphoid and a non-Lymphoid cell"	"Immunoregulatory interactions between a Lymphoid and a non-Lymphoid cell"	111	111	68	0.612612612612613	0.319526627218935	162	251	13	0	0.999999343649732	1
"Inactivation of APC/C via direct inhibition of the APC/C complex"	"Inactivation of APC/C via direct inhibition of the APC/C complex"	18	18	11	0.611111111111111	0.0532544378698225	27	29	7	0	0.96203297197593	1
"Inhibition of the proteolytic activity of APC/C required for the onset of anaphase by mitotic spindle checkpoint components"	"Inhibition of the proteolytic activity of APC/C required for the onset of anaphase by mitotic spindle checkpoint components"	18	18	11	0.611111111111111	0.0532544378698225	27	29	7	0	0.96203297197593	1
"RNA Polymerase III Chain Elongation"	"RNA Polymerase III Chain Elongation"	18	18	11	0.611111111111111	0.0433925049309665	22	25	6	0	0.96203297197593	1
"Removal of DNA patch containing abasic residue"	"Removal of DNA patch containing abasic residue"	18	18	11	0.611111111111111	0.0493096646942801	25	26	4	0	0.96203297197593	1
"Resolution of AP sites via the multiple-nucleotide patch replacement pathway"	"Resolution of AP sites via the multiple-nucleotide patch replacement pathway"	18	18	11	0.611111111111111	0.0493096646942801	25	26	4	0	0.96203297197593	1
"Mitochondrial translation"	"Mitochondrial translation"	92	92	56	0.608695652173913	0.181459566074951	92	114	5	0	0.999995977895453	1
"RNA Polymerase III Transcription Termination"	"RNA Polymerase III Transcription Termination"	23	23	14	0.608695652173913	0.0512820512820513	26	31	6	0	0.981367657318378	1
"Thromboxane signalling through TP receptor"	"Thromboxane signalling through TP receptor"	23	23	14	0.608695652173913	0.0453648915187377	23	24	4	0	0.981367657318378	1
"Adrenaline,noradrenaline inhibits insulin secretion"	"Adrenaline,noradrenaline inhibits insulin secretion"	28	28	17	0.607142857142857	0.124260355029586	63	74	18	0	0.990684818413078	1
"Glutathione conjugation"	"Glutathione conjugation"	33	33	20	0.606060606060606	0.0650887573964497	33	33	4	0	0.995284647610182	1
"ADP signalling through P2Y purinoceptor 1"	"ADP signalling through P2Y purinoceptor 1"	25	25	15	0.6	0.0532544378698225	27	28	4	0	0.988743881282915	1
"ATF6-alpha activates chaperone genes"	"ATF6-alpha activates chaperone genes"	10	10	6	0.6	0.0276134122287968	14	16	5	0	0.899150433521975	1
"Activation of caspases through apoptosome-mediated cleavage"	"Activation of caspases through apoptosome-mediated cleavage"	5	5	3	0.6	0.0256410256410256	13	13	9	0	0.761325525709787	1
"Acyl chain remodeling of DAG and TAG"	"Acyl chain remodeling of DAG and TAG"	5	5	3	0.6	0.00591715976331361	3	4	2	0	0.761325525709787	1
"Acyl chain remodelling of PC"	"Acyl chain remodelling of PC"	25	25	15	0.6	0.0927021696252465	47	53	7	0	0.988743881282915	1
"Cytochrome c-mediated apoptotic response"	"Cytochrome c-mediated apoptotic response"	5	5	3	0.6	0.0256410256410256	13	13	9	0	0.761325525709787	1
"Displacement of DNA glycosylase by  APE1"	"Displacement of DNA glycosylase by  APE1"	10	10	6	0.6	0.0236686390532544	12	12	3	0	0.899150433521975	1
"G beta:gamma signalling through PLC beta"	"G beta:gamma signalling through PLC beta"	20	20	12	0.6	0.0887573964497041	45	48	20	0	0.977303039852133	1
"Glucagon-type ligand receptors"	"Glucagon-type ligand receptors"	30	30	18	0.6	0.0710059171597633	36	43	7	0	0.99433298251021	1
"Scavenging by Class B Receptors"	"Scavenging by Class B Receptors"	5	5	3	0.6	0.0907297830374754	46	46	43	0	0.761325525709787	1
"Generation of second messenger molecules"	"Generation of second messenger molecules"	37	37	22	0.594594594594595	0.106508875739645	54	59	9	0	0.998241271296192	1
"Mitochondrial translation initiation"	"Mitochondrial translation initiation"	86	86	51	0.593023255813954	0.159763313609467	81	97	5	0	0.999998117060856	1
"Mitochondrial translation termination"	"Mitochondrial translation termination"	86	86	51	0.593023255813954	0.16370808678501	83	98	5	0	0.999998117060856	1
"Chylomicron-mediated lipid transport"	"Chylomicron-mediated lipid transport"	17	17	10	0.588235294117647	0.140039447731755	71	82	43	0	0.972435651143385	1
"Hormone-sensitive lipase (HSL)-mediated triacylglycerol hydrolysis"	"Hormone-sensitive lipase (HSL)-mediated triacylglycerol hydrolysis"	12	12	7	0.583333333333333	0.0355029585798817	18	21	7	0	0.942259563673558	1
"Mitochondrial translation elongation"	"Mitochondrial translation elongation"	86	86	50	0.581395348837209	0.153846153846154	78	93	5	0	0.999999404396976	1
"FCGR activation"	"FCGR activation"	50	50	29	0.58	0.149901380670611	76	83	8	0	0.999874994541541	1
"Prostacyclin signalling through prostacyclin receptor"	"Prostacyclin signalling through prostacyclin receptor"	19	19	11	0.578947368421053	0.0473372781065089	24	25	7	0	0.983761650805146	1
"Mitochondrial protein import"	"Mitochondrial protein import"	52	52	30	0.576923076923077	0.0927021696252465	47	53	5	0	0.999924038304402	1
"Influenza Infection"	"Influenza Infection"	148	148	85	0.574324324324324	0.297830374753452	151	227	11	0	0.999999999984623	1
"Activation of NIMA Kinases NEK9, NEK6, NEK7"	"Activation of NIMA Kinases NEK9, NEK6, NEK7"	7	7	4	0.571428571428571	0.0157790927021696	8	8	3	0	0.871779408524142	1
"Viral RNP Complexes in the Host Cell Nucleus"	"Viral RNP Complexes in the Host Cell Nucleus"	7	7	4	0.571428571428571	0.0256410256410256	13	13	9	0	0.871779408524142	1
"Classical antibody-mediated complement activation"	"Classical antibody-mediated complement activation"	44	44	25	0.568181818181818	0.120315581854043	61	66	8	0	0.999832232171549	1
"Influenza Life Cycle"	"Influenza Life Cycle"	143	143	81	0.566433566433566	0.293885601577909	149	221	11	0	0.999999999991414	1
"Acyl chain remodelling of PE"	"Acyl chain remodelling of PE"	23	23	13	0.565217391304348	0.0848126232741617	43	45	7	0	0.994340571329131	1
"Acyl chain remodelling of PI"	"Acyl chain remodelling of PI"	16	16	9	0.5625	0.0749506903353057	38	39	7	0	0.980721979461336	1
"Entry of Influenza Virion into Host Cell via Endocytosis"	"Entry of Influenza Virion into Host Cell via Endocytosis"	9	9	5	0.555555555555556	0.0276134122287968	14	14	9	0	0.929282195162567	1
"Influenza Viral RNA Transcription and Replication"	"Influenza Viral RNA Transcription and Replication"	135	135	75	0.555555555555556	0.27810650887574	141	204	11	0	0.999999999994785	1
