"V1"
"NS1 Mediated Effects on Host Pathways"	"CPSF4 EIF2AK2 PABPN1"
"The fatty acid cycling model"	"UCP1 UCP2 UCP3"
"The phototransduction cascade"	"GNB1 GNB5 GNGT1 PRKCA CALM1 CNGA1 CNGB1 GNAT1 PDE6A PDE6B PDE6G RHO SAG NMT1 FNTA FNTB GRK1 GUCA1A GUCA1B GUCA1C GUCY2D GUCY2F PPEF1 RGS9 RGS9BP"
"The proton buffering model"	"UCP1 UCP2 UCP3"
"The retinoid cycle in cones (daylight vision)"	"OPN1LW OPN1MW OPN1SW DHRS3 RBP3 RLBP1"
"The role of Nef in HIV-1 replication and disease pathogenesis"	"PAK2 RAC1 AP1B1 AP1G1 AP1M1 AP1M2 AP1S1 AP1S2 AP1S3 AP2A1 AP2A2 AP2M1 ARF1 B2M CD247 CD28 CD4 CD8B FYN HLA-A LCK HCK ATP6V1H DOCK2 ELMO1 PACS1"
"Thrombin signalling through proteinase activated receptors (PARs)"	"GNA11 GNA14 GNA15 GNAQ GNB1 GNB2 GNB3 GNB4 GNB5 GNG10 GNG11 GNG12 GNG13 GNG2 GNG3 GNG4 GNG5 GNG7 GNGT1 GNGT2 SRC MAPK1 MAPK3 ARRB1 F2 F2R F2RL2 F2RL3 GNA12 GNA13"
"Thromboxane signalling through TP receptor"	"GNA11 GNA14 GNA15 GNAQ GNB1 GNB2 GNB3 GNB4 GNB5 GNG10 GNG11 GNG12 GNG13 GNG2 GNG3 GNG4 GNG5 GNG7 GNGT1 GNGT2 TBXA2R GNA13"
"Thyroxine biosynthesis"	"CGA DIO1 DIO2 DIO3 IYD SLC5A5 TSHB"
"Tie2 Signaling"	"HRAS KRAS NRAS SOS1 GRB2 PIK3CA PIK3CB PIK3R1 PIK3R2 SHC1 ANGPT1 ANGPT2 ANGPT4 DOK2 GRB14 GRB7 TEK"
"Tight junction interactions"	"PARD6A CLDN1 CLDN10 CLDN11 CLDN12 CLDN14 CLDN15 CLDN16 CLDN18 CLDN19 CLDN2 CLDN22 CLDN23 CLDN3 CLDN4 CLDN5 CLDN6 CLDN9 CRB3 F11R INADL MPP5 PARD3 PARD6B PARD6G PRKCI"
"Tolerance by Mtb to nitric oxide produced by macrophages"	"GGTA1P MSRA"
"Toll Like Receptor 10 (TLR10) Cascade"	"RPS27A UBA52 MAPK14 CHUK CREB1 PPP2CA PPP2CB PPP2R1A PPP2R1B PPP2R5D UBB UBC CDK1 IL6 IL6R IL6ST JAK1 JAK2 MAP2K2 MAPK1 MAPK3 TYK2 AGER ATF1 ATF2 DHX9 DUSP3 DUSP4 DUSP6 DUSP7 ECSIT ELK1 FOS HMGB1 IKBKB IKBKG IRAK1 IRAK2 IRAK4 JUN MAP2K3 MAP2K6 MAP2K7 MAP3K1 MAP3K7 MAPK10 MAPK7 MAPK8 MAPK9 MAPKAPK2 MAPKAPK3 MEF2A MEF2C MYD88 NFKBIA NFKBIB NOD1 NOD2 PELI1 PELI2 PELI3 RELA RIPK2 RPS6KA2 RPS6KA3 RPS6KA5 S100A12 S100B SAA1 TAB3 TRAF6 UBE2V1 TLR10 TLR5"
"Toll Like Receptor 2 (TLR2) Cascade"	"RPS27A UBA52 MAPK14 CHUK CREB1 PPP2CA PPP2CB PPP2R1A PPP2R1B PPP2R5D UBB UBC CDK1 IL6 IL6R IL6ST JAK1 JAK2 MAP2K2 MAPK1 MAPK3 TYK2 AGER ATF1 ATF2 BTK CD14 CD36 DHX9 DUSP3 DUSP4 DUSP6 DUSP7 ECSIT ELK1 FOS HMGB1 IKBKB IKBKG IRAK1 IRAK2 IRAK3 IRAK4 JUN LY96 MAP2K3 MAP2K6 MAP2K7 MAP3K1 MAP3K7 MAPK10 MAPK7 MAPK8 MAPK9 MAPKAPK2 MAPKAPK3 MEF2A MEF2C MYD88 NFKBIA NFKBIB NOD1 NOD2 PELI1 PELI2 PELI3 RELA RIPK2 RPS6KA2 RPS6KA3 RPS6KA5 S100A12 S100B SAA1 SIGIRR SOCS1 TAB3 TIRAP TLR1 TLR2 TLR4 TLR6 TRAF6 UBE2V1"
"Toll Like Receptor 3 (TLR3) Cascade"	"RPS27A UBA52 MAPK14 CHUK CREB1 PPP2CA PPP2CB PPP2R1A PPP2R1B PPP2R5D UBB UBC UBE2D1 CDK1 IL6 IL6R IL6ST JAK1 JAK2 MAP2K2 MAPK1 MAPK3 TYK2 AGER ATF1 ATF2 BIRC2 BIRC3 CASP8 CD14 DHX9 DUSP3 DUSP4 DUSP6 DUSP7 ELK1 FADD FOS HMGB1 IKBKB IKBKE IKBKG IRAK1 IRAK2 IRF3 IRF7 JUN LY96 MAP2K3 MAP2K6 MAP2K7 MAP3K7 MAPK10 MAPK7 MAPK8 MAPK9 MAPKAPK2 MAPKAPK3 MEF2A MEF2C MYD88 NFKBIA NFKBIB NOD1 NOD2 RELA RIPK1 RIPK2 RIPK3 RPS6KA2 RPS6KA3 RPS6KA5 S100A12 S100B SAA1 SARM1 TAB3 TANK TBK1 TICAM1 TICAM2 TLR3 TLR4 TRAF3 TRAF6 UBE2D2 UBE2V1"
"Toll Like Receptor 4 (TLR4) Cascade"	"RPS27A UBA52 MAPK14 CHUK CREB1 PPP2CA PPP2CB PPP2R1A PPP2R1B PPP2R5D UBB UBC UBE2D1 CDK1 IL6 IL6R IL6ST JAK1 JAK2 MAP2K2 MAPK1 MAPK3 TYK2 AGER ATF1 ATF2 BIRC2 BIRC3 BTK CASP8 CD14 CD36 DHX9 DUSP3 DUSP4 DUSP6 DUSP7 ECSIT ELK1 FADD FOS HMGB1 IKBKB IKBKE IKBKG IRAK1 IRAK2 IRAK3 IRAK4 IRF3 IRF7 JUN LY96 MAP2K3 MAP2K6 MAP2K7 MAP3K1 MAP3K7 MAPK10 MAPK7 MAPK8 MAPK9 MAPKAPK2 MAPKAPK3 MEF2A MEF2C MYD88 NFKBIA NFKBIB NOD1 NOD2 PELI1 PELI2 PELI3 RELA RIPK1 RIPK2 RIPK3 RPS6KA2 RPS6KA3 RPS6KA5 S100A12 S100B SAA1 SARM1 SIGIRR SOCS1 TAB3 TANK TBK1 TICAM1 TICAM2 TIRAP TLR1 TLR2 TLR3 TLR4 TLR6 TRAF3 TRAF6 UBE2D2 UBE2V1 DNM1 DNM2 DNM3 ITGB2 PLCG2 CD180 LBP LY86"
"Toll Like Receptor 5 (TLR5) Cascade"	"RPS27A UBA52 MAPK14 CHUK CREB1 PPP2CA PPP2CB PPP2R1A PPP2R1B PPP2R5D UBB UBC CDK1 IL6 IL6R IL6ST JAK1 JAK2 MAP2K2 MAPK1 MAPK3 TYK2 AGER ATF1 ATF2 DHX9 DUSP3 DUSP4 DUSP6 DUSP7 ECSIT ELK1 FOS HMGB1 IKBKB IKBKG IRAK1 IRAK2 IRAK4 JUN MAP2K3 MAP2K6 MAP2K7 MAP3K1 MAP3K7 MAPK10 MAPK7 MAPK8 MAPK9 MAPKAPK2 MAPKAPK3 MEF2A MEF2C MYD88 NFKBIA NFKBIB NOD1 NOD2 PELI1 PELI2 PELI3 RELA RIPK2 RPS6KA2 RPS6KA3 RPS6KA5 S100A12 S100B SAA1 TAB3 TRAF6 UBE2V1 TLR10 TLR5"
"Toll Like Receptor 7/8 (TLR7/8) Cascade"	"RPS27A UBA52 MAPK14 CHUK CREB1 PPP2CA PPP2CB PPP2R1A PPP2R1B PPP2R5D UBB UBC CDK1 IL6 IL6R IL6ST JAK1 JAK2 MAP2K2 MAPK1 MAPK3 TYK2 AGER ATF1 ATF2 DHX9 DUSP3 DUSP4 DUSP6 DUSP7 ECSIT ELK1 FOS HMGB1 IKBKB IKBKG IRAK1 IRAK2 IRAK4 IRF7 JUN MAP2K3 MAP2K6 MAP2K7 MAP3K1 MAP3K7 MAPK10 MAPK7 MAPK8 MAPK9 MAPKAPK2 MAPKAPK3 MEF2A MEF2C MYD88 NFKBIA NFKBIB NOD1 NOD2 PELI1 PELI2 PELI3 RELA RIPK2 RPS6KA2 RPS6KA3 RPS6KA5 S100A12 S100B SAA1 TAB3 TRAF6 UBE2V1 DHX36 TLR9 TLR7 TLR8"
"Toll Like Receptor 9 (TLR9) Cascade"	"RPS27A UBA52 MAPK14 CHUK CREB1 PPP2CA PPP2CB PPP2R1A PPP2R1B PPP2R5D UBB UBC CDK1 IL6 IL6R IL6ST JAK1 JAK2 MAP2K2 MAPK1 MAPK3 TYK2 AGER ATF1 ATF2 DHX9 DUSP3 DUSP4 DUSP6 DUSP7 ECSIT ELK1 FOS HMGB1 IKBKB IKBKG IRAK1 IRAK2 IRAK4 IRF7 JUN MAP2K3 MAP2K6 MAP2K7 MAP3K1 MAP3K7 MAPK10 MAPK7 MAPK8 MAPK9 MAPKAPK2 MAPKAPK3 MEF2A MEF2C MYD88 NFKBIA NFKBIB NOD1 NOD2 PELI1 PELI2 PELI3 RELA RIPK2 RPS6KA2 RPS6KA3 RPS6KA5 S100A12 S100B SAA1 TAB3 TRAF6 UBE2V1 DHX36 PIK3C3 PIK3R4 TLR9 TLR7 TLR8"
"Toll Like Receptor TLR1:TLR2 Cascade"	"RPS27A UBA52 MAPK14 CHUK CREB1 PPP2CA PPP2CB PPP2R1A PPP2R1B PPP2R5D UBB UBC CDK1 IL6 IL6R IL6ST JAK1 JAK2 MAP2K2 MAPK1 MAPK3 TYK2 AGER ATF1 ATF2 BTK CD14 CD36 DHX9 DUSP3 DUSP4 DUSP6 DUSP7 ECSIT ELK1 FOS HMGB1 IKBKB IKBKG IRAK1 IRAK2 IRAK3 IRAK4 JUN LY96 MAP2K3 MAP2K6 MAP2K7 MAP3K1 MAP3K7 MAPK10 MAPK7 MAPK8 MAPK9 MAPKAPK2 MAPKAPK3 MEF2A MEF2C MYD88 NFKBIA NFKBIB NOD1 NOD2 PELI1 PELI2 PELI3 RELA RIPK2 RPS6KA2 RPS6KA3 RPS6KA5 S100A12 S100B SAA1 SIGIRR SOCS1 TAB3 TIRAP TLR1 TLR2 TLR4 TLR6 TRAF6 UBE2V1"
"Toll Like Receptor TLR6:TLR2 Cascade"	"RPS27A UBA52 MAPK14 CHUK CREB1 PPP2CA PPP2CB PPP2R1A PPP2R1B PPP2R5D UBB UBC CDK1 IL6 IL6R IL6ST JAK1 JAK2 MAP2K2 MAPK1 MAPK3 TYK2 AGER ATF1 ATF2 BTK CD14 CD36 DHX9 DUSP3 DUSP4 DUSP6 DUSP7 ECSIT ELK1 FOS HMGB1 IKBKB IKBKG IRAK1 IRAK2 IRAK3 IRAK4 JUN LY96 MAP2K3 MAP2K6 MAP2K7 MAP3K1 MAP3K7 MAPK10 MAPK7 MAPK8 MAPK9 MAPKAPK2 MAPKAPK3 MEF2A MEF2C MYD88 NFKBIA NFKBIB NOD1 NOD2 PELI1 PELI2 PELI3 RELA RIPK2 RPS6KA2 RPS6KA3 RPS6KA5 S100A12 S100B SAA1 SIGIRR SOCS1 TAB3 TIRAP TLR1 TLR2 TLR4 TLR6 TRAF6 UBE2V1"
"Toll-Like Receptors Cascades"	"RPS27A UBA52 MAPK14 CHUK CREB1 PPP2CA PPP2CB PPP2R1A PPP2R1B PPP2R5D UBB UBC UBE2D1 CDK1 IL6 IL6R IL6ST JAK1 JAK2 MAP2K2 MAPK1 MAPK3 TYK2 AGER ATF1 ATF2 BIRC2 BIRC3 BTK CASP8 CD14 CD36 DHX9 DUSP3 DUSP4 DUSP6 DUSP7 ECSIT ELK1 FADD FOS HMGB1 IKBKB IKBKE IKBKG IRAK1 IRAK2 IRAK3 IRAK4 IRF3 IRF7 JUN LY96 MAP2K3 MAP2K6 MAP2K7 MAP3K1 MAP3K7 MAPK10 MAPK7 MAPK8 MAPK9 MAPKAPK2 MAPKAPK3 MEF2A MEF2C MYD88 NFKBIA NFKBIB NOD1 NOD2 PELI1 PELI2 PELI3 RELA RIPK1 RIPK2 RIPK3 RPS6KA2 RPS6KA3 RPS6KA5 S100A12 S100B SAA1 SARM1 SIGIRR SOCS1 TAB3 TANK TBK1 TICAM1 TICAM2 TIRAP TLR1 TLR2 TLR3 TLR4 TLR6 TRAF3 TRAF6 UBE2D2 UBE2V1 CTSK CTSB CTSS DNM1 DNM2 DNM3 ITGB2 LGMN PLCG2 DHX36 PIK3C3 PIK3R4 TLR9 CD180 CNPY3 LBP LY86 TLR10 TLR5 TLR7 TLR8 UNC93B1"
"Toxicity of botulinum toxin type A (BoNT/A)"	"SNAP25 SV2A SV2B SV2C"
"Toxicity of botulinum toxin type B (BoNT/B)"	"SYT1 SYT2"
"Toxicity of botulinum toxin type C (BoNT/C)"	"SNAP25 STX1A STX1B"
"Toxicity of botulinum toxin type D (BoNT/D)"	"SV2A SV2B SV2C VAMP1"
"Toxicity of botulinum toxin type E (BoNT/E)"	"SNAP25 SV2A SV2B"
"Toxicity of botulinum toxin type F (BoNT/F)"	"SV2A SV2B SV2C VAMP1"
"Toxicity of botulinum toxin type G (BoNT/G)"	"SYT1 VAMP1"
"Trafficking and processing of endosomal TLR"	"TLR3 CTSK CTSB CTSS LGMN TLR9 CNPY3 TLR7 TLR8 UNC93B1"
"Trafficking of AMPA receptors"	"MDM2 PRKCA GRIA1 GRIA2 GRIA3 GRIA4 DLG1 PRKCB CAMK2A CAMK2B CAMK2G AP2A1 AP2A2 AP2M1 PRKCG CACNG2 CACNG4 MYO6 AKAP5 CACNG3 CACNG8 EPB41L1 GRIP1 GRIP2 NSF"
"Trafficking of GluR2-containing AMPA receptors"	"PRKCA GRIA1 GRIA2 GRIA3 GRIA4 PRKCB AP2A1 AP2A2 AP2M1 PRKCG GRIP1 GRIP2 NSF"
"Trafficking of dietary sterols"	"ABCG5 ABCG8 NPC1L1"
"Trafficking of myristoylated proteins to the cilium"	"CYS1 NPHP3 RP2"
"Transcription"	"PABPN1 HDAC1 MAPK3 H2AFX CTDP1 GTF2F1 GTF2F2 NCBP1 NCBP2 NELFA NELFB NELFE POLR2A POLR2B POLR2C POLR2E POLR2G POLR2H POLR2I POLR2J POLR2K POLR2L SUPT4H1 SUPT5H TCEB1 TCEB2 H2AFB1 H3F3A HIST1H2AB HIST1H2AC HIST1H2AD HIST1H2AJ HIST1H2BA HIST1H2BB HIST1H2BC HIST1H2BD HIST1H2BH HIST1H2BJ HIST1H2BK HIST1H2BL HIST1H2BM HIST1H2BN HIST1H2BO HIST1H3A HIST1H4A HIST2H2AA3 HIST2H2AC HIST2H2BE HIST2H3A HIST3H2BB CCNH CDK7 MNAT1 RBBP4 RBBP7 EHMT2 CHD3 CHD4 GATAD2A GATAD2B HDAC2 KAT2A KAT2B MBD3 MTA1 MTA2 MTA3 TAF10 TAF9 ALYREF CDC40 CLP1 CPSF1 CPSF2 CPSF7 CSTF2 CSTF3 DHX38 LSM10 LSM11 MAGOH NUDT21 PAPOLA PCF11 RBM8A RNPS1 SLBP SNRPB SNRPD3 SNRPE SNRPG SRSF1 SRSF11 SRSF2 SRSF3 SRSF5 SRSF6 SRSF7 SRSF9 U2AF1 U2AF2 UPF3B ZNF473 ERCC2 CRCP POLR1C POLR1D POLR3A POLR3B POLR3C POLR3D POLR3E POLR3F POLR3G POLR3GL POLR3K ERCC6 GTF2H1 GTF2H2 GTF2H3 GTF2H4 TCEA1 CCNT1 CDK9 ELL GTF2A1 GTF2B GTF2E1 GTF2E2 RNGTT RNMT SSRP1 SUPT16H TAF1 TAF11 TAF13 TAF1L TAF2 TAF4B TAF6 TAF9B TBP MBD2 POLR1A POLR1B POLR1E TAF1A TAF1C TAF1D TTF1 TWISTNB UBTF ZNRD1 BDP1 BRF1 BRF2 CBX3 GTF3A GTF3C1 GTF3C2 GTF3C3 GTF3C4 GTF3C5 NFIA NFIB NFIC NFIX POLRMT POU2F1 PTRF RRN3 SNAPC1 SNAPC2 SNAPC3 SNAPC4 SSB TFAM TFB2M ZNF143"
"Transcription from mitochondrial promoters"	"POLRMT TFAM TFB2M"
"Transcription of the HIV genome"	"CTDP1 GTF2F1 GTF2F2 NCBP1 NCBP2 NELFA NELFB NELFE POLR2A POLR2B POLR2C POLR2E POLR2G POLR2H POLR2I POLR2J POLR2K POLR2L SUPT4H1 SUPT5H TCEB1 TCEB2 CCNH CDK7 MNAT1 TAF10 TAF9 ERCC2 GTF2H1 GTF2H2 GTF2H3 GTF2H4 TCEA1 CCNT1 CDK9 ELL GTF2A1 GTF2B GTF2E1 GTF2E2 RNGTT RNMT SSRP1 SUPT16H TAF1 TAF11 TAF13 TAF1L TAF2 TAF4B TAF6 TAF9B TBP TAT"
"Transcription-coupled NER (TC-NER)"	"POLR2A POLR2B POLR2C POLR2E POLR2G POLR2H POLR2I POLR2J POLR2K POLR2L RFC2 RFC3 RFC4 RFC5 RPA3 POLE2 APEX1 PCNA POLD1 POLD2 POLD3 POLD4 CCNH CDK7 MNAT1 ERCC2 ERCC4 ERCC5 ERCC6 ERCC8 GTF2H1 GTF2H2 GTF2H3 GTF2H4 TCEA1 XAB2"
"Transcriptional  activation of  cell cycle inhibitor p21"	"CDKN1A TP53"
"Transcriptional activation of mitochondrial biogenesis"	"CREB1 ATF2 MEF2C CALM1 CAMK4 PPARGC1A CYCS CARM1 CHD9 CREBBP MED1 NCOA1 NCOA2 NCOA6 PPARA RXRA SMARCD3 TBL1X TBL1XR1 TGS1 HDAC3 NCOR1 NR1D1 MEF2D HCFC1 ALAS1 ESRRA NRF1 PPARGC1B ATP5B POLRMT TFAM TFB2M POLG2 SIRT3 SSBP1"
"Transcriptional activation of p53 responsive genes"	"CDKN1A TP53"
"Transcriptional activity of SMAD2/SMAD3:SMAD4 heterotrimer"	"RPS27A UBA52 HDAC1 UBB UBC UBE2D1 TFDP1 SP1 NEDD4L SMURF2 NCOR1 SERPINE1 CDKN2B E2F4 E2F5 MYC RBL1 TFDP2 NCOR2 CCNC CDK8 SMAD2 SMAD4 CCNT1 CDK9 JUNB MEN1 PARP1 PPM1A SKI SKIL SMAD7 TGIF1 TGIF2 TRIM33 USP9X WWTR1"
"Transcriptional regulation by small RNAs"	"H2AFX POLR2A POLR2B POLR2C POLR2E POLR2G POLR2H POLR2I POLR2J POLR2K POLR2L AGO1 AGO2 TNRC6A H2AFB1 H3F3A HIST1H2AB HIST1H2AC HIST1H2AD HIST1H2AJ HIST1H2BA HIST1H2BB HIST1H2BC HIST1H2BD HIST1H2BH HIST1H2BJ HIST1H2BK HIST1H2BL HIST1H2BM HIST1H2BN HIST1H2BO HIST1H3A HIST1H4A HIST2H2AA3 HIST2H2AC HIST2H2BE HIST2H3A HIST3H2BB AAAS NUP107 NUP133 NUP153 NUP155 NUP160 NUP188 NUP205 NUP210 NUP214 NUP35 NUP37 NUP43 NUP54 NUP62 NUP85 NUP93 NUP98 NUPL1 NUPL2 POM121 RAE1 RANBP2 SEH1L TPR IPO8"
"Transcriptional regulation of pluripotent stem cells"	"POLR2A POLR2B POLR2C POLR2E POLR2G POLR2H POLR2I POLR2J POLR2K POLR2L FGF2 EPHA1 STAT3 EPAS1 CDX2 DKK1 EOMES FOXD3 GATA6 GSC KLF4 NANOG NR5A1 NR6A1 PBX1 POU5F1 PRDM14 SALL4 SMAD2 SMAD4 SOX2 TDGF1 TSC22D1 ZIC3 ZSCAN10"
"Transcriptional regulation of white adipocyte differentiation"	"PCK1 CD36 RELA PPARGC1A CARM1 CHD9 CREBBP MED1 NCOA1 NCOA2 NCOA6 PPARA RXRA SMARCD3 SREBF1 TBL1X TBL1XR1 TGS1 HDAC3 NCOR1 CCND3 CDK4 CEBPB NCOR2 LPL WNT10B CCNC CDK8 TNF ADIPOQ ANGPTL4 CDK19 CEBPA CEBPD EBF1 EGR2 FABP4 KLF4 KLF5 LEP MED10 MED12 MED13 MED13L MED14 MED15 MED16 MED17 MED19 MED20 MED21 MED22 MED23 MED24 MED25 MED26 MED27 MED29 MED30 MED4 MED6 MED7 MED8 MED9 NCOA3 NR2F2 PLIN1 PPARG"
"Transfer of LPS from LBP carrier to CD14"	"CD14 LBP"
"Transferrin endocytosis and recycling"	"TFRC ATP6V0A1 ATP6V0A2 ATP6V0A4 ATP6V0B ATP6V0C ATP6V0D1 ATP6V0D2 ATP6V0E1 ATP6V0E2 ATP6V1A ATP6V1B1 ATP6V1B2 ATP6V1C1 ATP6V1C2 ATP6V1D ATP6V1E1 ATP6V1E2 ATP6V1F ATP6V1G1 ATP6V1G2 ATP6V1G3 ATP6V1H TCIRG1 TF ATP6AP1 MCOLN1 STEAP2 STEAP3"
"Translation"	"EIF1AX EIF2S1 EIF2S2 EIF2S3 EIF3A EIF3B EIF3C EIF3D EIF3E EIF3F EIF3G EIF3H EIF3I EIF3K EIF4A1 EIF4A2 EIF4B EIF4G1 EIF4H FAU PABPC1 RPL10 RPL10A RPL12 RPL13 RPL13A RPL14 RPL15 RPL17 RPL18A RPL19 RPL21 RPL22 RPL23 RPL23A RPL24 RPL26L1 RPL27 RPL27A RPL28 RPL29 RPL30 RPL31 RPL32 RPL35 RPL35A RPL36 RPL36A RPL37 RPL37A RPL38 RPL39 RPL3L RPL41 RPL5 RPL7 RPL7A RPL8 RPLP0 RPLP2 RPS10 RPS11 RPS12 RPS13 RPS14 RPS15 RPS15A RPS16 RPS17 RPS18 RPS2 RPS20 RPS23 RPS24 RPS25 RPS26 RPS27 RPS27A RPS28 RPS29 RPS3 RPS3A RPS4X RPS5 RPS6 RPS8 RPS9 RPSA UBA52 EIF4EBP1 SEC61A1 SEC61A2 SEC61B SEC61G RPN1 RPN2 EIF2B1 EIF2B2 EIF2B3 EIF2B4 EIF2B5 EIF5 EIF5B EEF1A1 EEF2 EEF1B2 EEF1D EEF1G ETF1 GSPT2 SEC11A SEC11C SPCS1 SPCS2 SPCS3 SRP14 SRP19 SRP54 SRP68 SRP72 SRP9 SRPR SRPRB SSR1 SSR2 SSR3 SSR4 TRAM1"
"Translation initiation complex formation"	"EIF1AX EIF2S1 EIF2S2 EIF2S3 EIF3A EIF3B EIF3C EIF3D EIF3E EIF3F EIF3G EIF3H EIF3I EIF3K EIF4A1 EIF4A2 EIF4B EIF4G1 EIF4H FAU PABPC1 RPS10 RPS11 RPS12 RPS13 RPS14 RPS15 RPS15A RPS16 RPS17 RPS18 RPS2 RPS20 RPS23 RPS24 RPS25 RPS26 RPS27 RPS27A RPS28 RPS29 RPS3 RPS3A RPS4X RPS5 RPS6 RPS8 RPS9 RPSA"
"Translesion synthesis by DNA polymerases bypassing lesion on DNA template"	"MAD2L2 POLH REV1 REV3L"
"Translesion synthesis by HREV1"	"REV1"
"Translesion synthesis by Pol eta"	"POLH"
"Translesion synthesis by Pol zeta"	"MAD2L2 REV3L"
"Translocation of GLUT4 to the plasma membrane"	"AKT1 AKT2 PRKAA2 PRKAB2 PRKAG2 YWHAB YWHAG YWHAH YWHAZ CALM1 PRKAB1 PRKAG3 RAC1 KIF3A KIF3B KIFAP3 LNPEP RAB8A EXOC1 EXOC2 EXOC3 EXOC4 EXOC5 EXOC7 EXOC8 STX4 STXBP3 MYO5A ASPSCR1 C2CD5 MYH15 MYH6 MYH7 MYH7B RAB10 RAB13 RAB14 RAB4A RALA RALGAPA2 RALGAPB RHOQ TBC1D1 TBC1D4"
"Translocation of ZAP-70 to Immunological synapse"	"CD247 CD3D CD3E CD3G CD4 HLA-DPA1 HLA-DPB1 HLA-DQA1 HLA-DQA2 HLA-DQB1 HLA-DQB2 HLA-DRA HLA-DRB1 HLA-DRB5 LCK ZAP70"
