"path_id"	"full_path_length"	"testable_path_length"	"drug_targeted_genes"	"proportion_drug_targeted"
"TRAF6 mediated IRF7 activation"	"TRAF6 mediated IRF7 activation"	32	32	2	0.0625
"TRAF6 mediated induction of TAK1 complex"	"TRAF6 mediated induction of TAK1 complex"	16	16	1	0.0625
"Trafficking of GluR2-containing AMPA receptors"	"Trafficking of GluR2-containing AMPA receptors"	16	16	1	0.0625
"Metabolic disorders of biological oxidation enzymes"	"Metabolic disorders of biological oxidation enzymes"	614	614	38	0.0618892508143322
"Signaling by GPCR"	"Signaling by GPCR"	1078	1078	66	0.0612244897959184
"Glucagon signaling in metabolic regulation"	"Glucagon signaling in metabolic regulation"	33	33	2	0.0606060606060606
"Negative regulators of RIG-I/MDA5 signaling"	"Negative regulators of RIG-I/MDA5 signaling"	33	33	2	0.0606060606060606
"Response to elevated platelet cytosolic Ca2+"	"Response to elevated platelet cytosolic Ca2+"	84	84	5	0.0595238095238095
"Gap-filling DNA repair synthesis and ligation in GG-NER"	"Gap-filling DNA repair synthesis and ligation in GG-NER"	17	17	1	0.0588235294117647
"Gap-filling DNA repair synthesis and ligation in TC-NER"	"Gap-filling DNA repair synthesis and ligation in TC-NER"	17	17	1	0.0588235294117647
"Global Genomic NER (GG-NER)"	"Global Genomic NER (GG-NER)"	34	34	2	0.0588235294117647
"Synthesis, secretion, and deacylation of Ghrelin"	"Synthesis, secretion, and deacylation of Ghrelin"	17	17	1	0.0588235294117647
"Tristetraprolin (TTP) destabilizes mRNA"	"Tristetraprolin (TTP) destabilizes mRNA"	17	17	1	0.0588235294117647
"Glucose metabolism"	"Glucose metabolism"	69	69	4	0.0579710144927536
"Integration of energy metabolism"	"Integration of energy metabolism"	104	104	6	0.0576923076923077
"Defective ACTH causes Obesity and Pro-opiomelanocortinin deficiency (POMCD)"	"Defective ACTH causes Obesity and Pro-opiomelanocortinin deficiency (POMCD)"	441	441	25	0.0566893424036281
"GPCR ligand binding"	"GPCR ligand binding"	441	441	25	0.0566893424036281
"Meiotic recombination"	"Meiotic recombination"	54	54	3	0.0555555555555556
"Oxygen-dependent proline hydroxylation of Hypoxia-inducible Factor Alpha"	"Oxygen-dependent proline hydroxylation of Hypoxia-inducible Factor Alpha"	18	18	1	0.0555555555555556
"Antiviral mechanism by IFN-stimulated genes"	"Antiviral mechanism by IFN-stimulated genes"	73	73	4	0.0547945205479452
"ISG15 antiviral mechanism"	"ISG15 antiviral mechanism"	73	73	4	0.0547945205479452
"Activation of ATR in response to replication stress"	"Activation of ATR in response to replication stress"	37	37	2	0.0540540540540541
"Immunoregulatory interactions between a Lymphoid and a non-Lymphoid cell"	"Immunoregulatory interactions between a Lymphoid and a non-Lymphoid cell"	111	111	6	0.0540540540540541
"NoRC negatively regulates rRNA expression"	"NoRC negatively regulates rRNA expression"	74	74	4	0.0540540540540541
"Generic Transcription Pathway"	"Generic Transcription Pathway"	483	483	26	0.0538302277432712
"Extracellular matrix organization"	"Extracellular matrix organization"	266	266	14	0.0526315789473684
"Glucuronidation"	"Glucuronidation"	19	19	1	0.0526315789473684
"RNA Polymerase I Promoter Clearance"	"RNA Polymerase I Promoter Clearance"	76	76	4	0.0526315789473684
"Synthesis of PC"	"Synthesis of PC"	19	19	1	0.0526315789473684
"DNA Repair"	"DNA Repair"	115	115	6	0.0521739130434783
"Negative epigenetic regulation of rRNA expression"	"Negative epigenetic regulation of rRNA expression"	77	77	4	0.051948051948052
"Transmembrane transport of small molecules"	"Transmembrane transport of small molecules"	618	618	32	0.0517799352750809
"Transport of glucose and other sugars, bile salts and organic acids, metal ions and amine compounds"	"Transport of glucose and other sugars, bile salts and organic acids, metal ions and amine compounds"	97	97	5	0.0515463917525773
"RNA Polymerase I Transcription"	"RNA Polymerase I Transcription"	78	78	4	0.0512820512820513
"G alpha (i) signalling events"	"G alpha (i) signalling events"	236	236	12	0.0508474576271186
"Gene Expression"	"Gene Expression"	1164	1164	59	0.0506872852233677
"Platelet degranulation"	"Platelet degranulation"	79	79	4	0.0506329113924051
"Platelet homeostasis"	"Platelet homeostasis"	79	79	4	0.0506329113924051
"Dual incision reaction in GG-NER"	"Dual incision reaction in GG-NER"	20	20	1	0.05
"Fatty Acyl-CoA Biosynthesis"	"Fatty Acyl-CoA Biosynthesis"	20	20	1	0.05
"Formation of incision complex in GG-NER"	"Formation of incision complex in GG-NER"	20	20	1	0.05
"Resolution of Sister Chromatid Cohesion"	"Resolution of Sister Chromatid Cohesion"	100	100	5	0.05
"Condensation of Prophase Chromosomes"	"Condensation of Prophase Chromosomes"	41	41	2	0.0487804878048781
"Pre-NOTCH Transcription and Translation"	"Pre-NOTCH Transcription and Translation"	41	41	2	0.0487804878048781
"APC/C:Cdc20 mediated degradation of Cyclin B"	"APC/C:Cdc20 mediated degradation of Cyclin B"	21	21	1	0.0476190476190476
"Formation of HIV elongation complex in the absence of HIV Tat"	"Formation of HIV elongation complex in the absence of HIV Tat"	42	42	2	0.0476190476190476
"Formation of HIV-1 elongation complex containing HIV-1 Tat"	"Formation of HIV-1 elongation complex containing HIV-1 Tat"	42	42	2	0.0476190476190476
"Formation of RNA Pol II elongation complex"	"Formation of RNA Pol II elongation complex"	42	42	2	0.0476190476190476
"GPCR downstream signaling"	"GPCR downstream signaling"	966	966	46	0.0476190476190476
"Glucagon-like Peptide-1 (GLP1) regulates insulin secretion"	"Glucagon-like Peptide-1 (GLP1) regulates insulin secretion"	42	42	2	0.0476190476190476
"HIV Transcription Elongation"	"HIV Transcription Elongation"	42	42	2	0.0476190476190476
"Inflammasomes"	"Inflammasomes"	21	21	1	0.0476190476190476
"Mitochondrial tRNA aminoacylation"	"Mitochondrial tRNA aminoacylation"	21	21	1	0.0476190476190476
"Neurotransmitter Release Cycle"	"Neurotransmitter Release Cycle"	42	42	2	0.0476190476190476
"RNA Polymerase II Transcription Elongation"	"RNA Polymerase II Transcription Elongation"	42	42	2	0.0476190476190476
"Tat-mediated elongation of the HIV-1 transcript"	"Tat-mediated elongation of the HIV-1 transcript"	42	42	2	0.0476190476190476
"Transcriptional regulation of pluripotent stem cells"	"Transcriptional regulation of pluripotent stem cells"	42	42	2	0.0476190476190476
"Peptide ligand-binding receptors"	"Peptide ligand-binding receptors"	190	190	9	0.0473684210526316
"Iron uptake and transport"	"Iron uptake and transport"	43	43	2	0.0465116279069767
"Vasopressin regulates renal water homeostasis via Aquaporins"	"Vasopressin regulates renal water homeostasis via Aquaporins"	43	43	2	0.0465116279069767
"Voltage gated Potassium channels"	"Voltage gated Potassium channels"	43	43	2	0.0465116279069767
"Chromosome Maintenance"	"Chromosome Maintenance"	87	87	4	0.0459770114942529
"ADP signalling through P2Y purinoceptor 12"	"ADP signalling through P2Y purinoceptor 12"	22	22	1	0.0454545454545455
"Common Pathway"	"Common Pathway"	22	22	1	0.0454545454545455
"Intrinsic Pathway"	"Intrinsic Pathway"	22	22	1	0.0454545454545455
"POU5F1 (OCT4), SOX2, NANOG activate genes related to proliferation"	"POU5F1 (OCT4), SOX2, NANOG activate genes related to proliferation"	22	22	1	0.0454545454545455
"Pyruvate metabolism"	"Pyruvate metabolism"	22	22	1	0.0454545454545455
"Smooth Muscle Contraction"	"Smooth Muscle Contraction"	22	22	1	0.0454545454545455
"NRAGE signals death through JNK"	"NRAGE signals death through JNK"	45	45	2	0.0444444444444444
"Transcription-coupled NER (TC-NER)"	"Transcription-coupled NER (TC-NER)"	45	45	2	0.0444444444444444
"APC-Cdc20 mediated degradation of Nek2A"	"APC-Cdc20 mediated degradation of Nek2A"	23	23	1	0.0434782608695652
"BBSome-mediated cargo-targeting to cilium"	"BBSome-mediated cargo-targeting to cilium"	23	23	1	0.0434782608695652
"Defensins"	"Defensins"	46	46	2	0.0434782608695652
"Chromatin modifying enzymes"	"Chromatin modifying enzymes"	208	208	9	0.0432692307692308
"Chromatin organization"	"Chromatin organization"	208	208	9	0.0432692307692308
"Epigenetic regulation of gene expression"	"Epigenetic regulation of gene expression"	94	94	4	0.0425531914893617
"Sphingolipid metabolism"	"Sphingolipid metabolism"	71	71	3	0.0422535211267606
"Cytosolic tRNA aminoacylation"	"Cytosolic tRNA aminoacylation"	24	24	1	0.0416666666666667
"G alpha (12/13) signalling events"	"G alpha (12/13) signalling events"	75	75	3	0.04
"IRE1alpha activates chaperones"	"IRE1alpha activates chaperones"	50	50	2	0.04
"Nucleotide Excision Repair"	"Nucleotide Excision Repair"	50	50	2	0.04
"TRP channels"	"TRP channels"	25	25	1	0.04
"G alpha (s) signalling events"	"G alpha (s) signalling events"	126	126	5	0.0396825396825397
"Aquaporin-mediated transport"	"Aquaporin-mediated transport"	51	51	2	0.0392156862745098
"Regulation of insulin secretion"	"Regulation of insulin secretion"	77	77	3	0.038961038961039
"SLC-mediated transmembrane transport"	"SLC-mediated transmembrane transport"	259	259	10	0.0386100386100386
"Insulin receptor recycling"	"Insulin receptor recycling"	26	26	1	0.0384615384615385
"RNA Pol II CTD phosphorylation and interaction with CE"	"RNA Pol II CTD phosphorylation and interaction with CE"	26	26	1	0.0384615384615385
"Assembly of collagen fibrils and other multimeric structures"	"Assembly of collagen fibrils and other multimeric structures"	54	54	2	0.037037037037037
"Attenuation phase"	"Attenuation phase"	27	27	1	0.037037037037037
"Kinesins"	"Kinesins"	27	27	1	0.037037037037037
"ECM proteoglycans"	"ECM proteoglycans"	55	55	2	0.0363636363636364
"Peptide hormone metabolism"	"Peptide hormone metabolism"	83	83	3	0.036144578313253
"Dual incision reaction in TC-NER"	"Dual incision reaction in TC-NER"	28	28	1	0.0357142857142857
"Formation of transcription-coupled NER (TC-NER) repair complex"	"Formation of transcription-coupled NER (TC-NER) repair complex"	28	28	1	0.0357142857142857
"Synthesis of PA"	"Synthesis of PA"	28	28	1	0.0357142857142857
"mRNA Capping"	"mRNA Capping"	28	28	1	0.0357142857142857
"Cell junction organization"	"Cell junction organization"	85	85	3	0.0352941176470588
"Meiosis"	"Meiosis"	85	85	3	0.0352941176470588
"Pre-NOTCH Expression and Processing"	"Pre-NOTCH Expression and Processing"	57	57	2	0.0350877192982456
"RNA Polymerase I, RNA Polymerase III, and Mitochondrial Transcription"	"RNA Polymerase I, RNA Polymerase III, and Mitochondrial Transcription"	114	114	4	0.0350877192982456
"Class B/2 (Secretin family receptors)"	"Class B/2 (Secretin family receptors)"	87	87	3	0.0344827586206897
"Interaction between L1 and Ankyrins"	"Interaction between L1 and Ankyrins"	29	29	1	0.0344827586206897
"PIWI-interacting RNA (piRNA) biogenesis"	"PIWI-interacting RNA (piRNA) biogenesis"	29	29	1	0.0344827586206897
"RNA Polymerase I Promoter Escape"	"RNA Polymerase I Promoter Escape"	29	29	1	0.0344827586206897
"formation of the beta-catenin:TCF transactivating complex"	"formation of the beta-catenin:TCF transactivating complex"	58	58	2	0.0344827586206897
"HIV Life Cycle"	"HIV Life Cycle"	146	146	5	0.0342465753424658
"Activated NOTCH1 Transmits Signal to the Nucleus"	"Activated NOTCH1 Transmits Signal to the Nucleus"	30	30	1	0.0333333333333333
"Adherens junctions interactions"	"Adherens junctions interactions"	30	30	1	0.0333333333333333
"Cell-cell junction organization"	"Cell-cell junction organization"	60	60	2	0.0333333333333333
"Gap junction trafficking and regulation"	"Gap junction trafficking and regulation"	30	30	1	0.0333333333333333
"Glucagon-type ligand receptors"	"Glucagon-type ligand receptors"	30	30	1	0.0333333333333333
"Lipoprotein metabolism"	"Lipoprotein metabolism"	30	30	1	0.0333333333333333
"Molecules associated with elastic fibres"	"Molecules associated with elastic fibres"	30	30	1	0.0333333333333333
"RNA Polymerase I Promoter Opening"	"RNA Polymerase I Promoter Opening"	30	30	1	0.0333333333333333
"Tight junction interactions"	"Tight junction interactions"	30	30	1	0.0333333333333333
"Cell death signalling via NRAGE, NRIF and NADE"	"Cell death signalling via NRAGE, NRIF and NADE"	61	61	2	0.0327868852459016
"Diseases associated with visual transduction"	"Diseases associated with visual transduction"	92	92	3	0.0326086956521739
"Visual phototransduction"	"Visual phototransduction"	92	92	3	0.0326086956521739
"Elongation arrest and recovery"	"Elongation arrest and recovery"	31	31	1	0.032258064516129
"HIV elongation arrest and recovery"	"HIV elongation arrest and recovery"	31	31	1	0.032258064516129
"Pausing and recovery of HIV elongation"	"Pausing and recovery of HIV elongation"	31	31	1	0.032258064516129
"Pausing and recovery of Tat-mediated HIV elongation"	"Pausing and recovery of Tat-mediated HIV elongation"	31	31	1	0.032258064516129
"RNA Polymerase I Transcription Termination"	"RNA Polymerase I Transcription Termination"	31	31	1	0.032258064516129
"RNA Polymerase II Pre-transcription Events"	"RNA Polymerase II Pre-transcription Events"	62	62	2	0.032258064516129
"Tat-mediated HIV elongation arrest and recovery"	"Tat-mediated HIV elongation arrest and recovery"	31	31	1	0.032258064516129
"Membrane Trafficking"	"Membrane Trafficking"	190	190	6	0.0315789473684211
"DNA methylation"	"DNA methylation"	32	32	1	0.03125
"Formation of the Early Elongation Complex"	"Formation of the Early Elongation Complex"	32	32	1	0.03125
"Formation of the HIV-1 Early Elongation Complex"	"Formation of the HIV-1 Early Elongation Complex"	32	32	1	0.03125
"Transcription of the HIV genome"	"Transcription of the HIV genome"	65	65	2	0.0307692307692308
"Stimuli-sensing channels"	"Stimuli-sensing channels"	98	98	3	0.0306122448979592
"Integrin cell surface interactions"	"Integrin cell surface interactions"	66	66	2	0.0303030303030303
"Sialic acid metabolism"	"Sialic acid metabolism"	33	33	1	0.0303030303030303
"Ion channel transport"	"Ion channel transport"	167	167	5	0.029940119760479
"MHC class II antigen presentation"	"MHC class II antigen presentation"	103	103	3	0.029126213592233
"Beta defensins"	"Beta defensins"	36	36	1	0.0277777777777778
"Gamma carboxylation, hypusine formation and arylsulfatase activation"	"Gamma carboxylation, hypusine formation and arylsulfatase activation"	36	36	1	0.0277777777777778
"Binding and Uptake of Ligands by Scavenger Receptors"	"Binding and Uptake of Ligands by Scavenger Receptors"	76	76	2	0.0263157894736842
"Formation of Fibrin Clot (Clotting Cascade)"	"Formation of Fibrin Clot (Clotting Cascade)"	39	39	1	0.0256410256410256
"Glycosphingolipid metabolism"	"Glycosphingolipid metabolism"	39	39	1	0.0256410256410256
"PRC2 methylates histones and DNA"	"PRC2 methylates histones and DNA"	40	40	1	0.025
"Unfolded Protein Response (UPR)"	"Unfolded Protein Response (UPR)"	81	81	2	0.0246913580246914
"Transcription"	"Transcription"	203	203	5	0.0246305418719212
"Elastic fibre formation"	"Elastic fibre formation"	41	41	1	0.024390243902439
"Triglyceride Biosynthesis"	"Triglyceride Biosynthesis"	42	42	1	0.0238095238095238
"tRNA Aminoacylation"	"tRNA Aminoacylation"	42	42	1	0.0238095238095238
"Collagen formation"	"Collagen formation"	86	86	2	0.0232558139534884
"HIV Transcription Initiation"	"HIV Transcription Initiation"	43	43	1	0.0232558139534884
"Pyruvate metabolism and Citric Acid (TCA) cycle"	"Pyruvate metabolism and Citric Acid (TCA) cycle"	43	43	1	0.0232558139534884
"RNA Polymerase II HIV Promoter Escape"	"RNA Polymerase II HIV Promoter Escape"	43	43	1	0.0232558139534884
"RNA Polymerase II Promoter Escape"	"RNA Polymerase II Promoter Escape"	43	43	1	0.0232558139534884
"RNA Polymerase II Transcription Initiation"	"RNA Polymerase II Transcription Initiation"	43	43	1	0.0232558139534884
"RNA Polymerase II Transcription Initiation And Promoter Clearance"	"RNA Polymerase II Transcription Initiation And Promoter Clearance"	43	43	1	0.0232558139534884
"RNA Polymerase II Transcription Pre-Initiation And Promoter Opening"	"RNA Polymerase II Transcription Pre-Initiation And Promoter Opening"	43	43	1	0.0232558139534884
"Glycerophospholipid biosynthesis"	"Glycerophospholipid biosynthesis"	88	88	2	0.0227272727272727
"Defective AHCY causes Hypermethioninemia with S-adenosylhomocysteine hydrolase deficiency (HMAHCHD)"	"Defective AHCY causes Hypermethioninemia with S-adenosylhomocysteine hydrolase deficiency (HMAHCHD)"	89	89	2	0.0224719101123595
"Defective GCLC causes Hemolytic anemia due to gamma-glutamylcysteine synthetase deficiency (HAGGSD)"	"Defective GCLC causes Hemolytic anemia due to gamma-glutamylcysteine synthetase deficiency (HAGGSD)"	89	89	2	0.0224719101123595
"Defective GGT1 causes Glutathionuria (GLUTH)"	"Defective GGT1 causes Glutathionuria (GLUTH)"	89	89	2	0.0224719101123595
"Defective GSS causes Glutathione synthetase deficiency (GSS deficiency)"	"Defective GSS causes Glutathione synthetase deficiency (GSS deficiency)"	89	89	2	0.0224719101123595
"Defective MAT1A causes Methionine adenosyltransferase deficiency (MATD)"	"Defective MAT1A causes Methionine adenosyltransferase deficiency (MATD)"	89	89	2	0.0224719101123595
"Defective OPLAH causes 5-oxoprolinase deficiency (OPLAHD)"	"Defective OPLAH causes 5-oxoprolinase deficiency (OPLAHD)"	89	89	2	0.0224719101123595
"Defective SLC35D1 causes Schneckenbecken dysplasia (SCHBCKD)"	"Defective SLC35D1 causes Schneckenbecken dysplasia (SCHBCKD)"	89	89	2	0.0224719101123595
"Defective TPMT causes Thiopurine S-methyltransferase deficiency (TPMT deficiency)"	"Defective TPMT causes Thiopurine S-methyltransferase deficiency (TPMT deficiency)"	89	89	2	0.0224719101123595
"Defective UGT1A1 causes hyperbilirubinemia"	"Defective UGT1A1 causes hyperbilirubinemia"	89	89	2	0.0224719101123595
"Defective UGT1A4 causes hyperbilirubinemia"	"Defective UGT1A4 causes hyperbilirubinemia"	89	89	2	0.0224719101123595
"Phase II conjugation"	"Phase II conjugation"	89	89	2	0.0224719101123595
"Scavenging of heme from plasma"	"Scavenging of heme from plasma"	47	47	1	0.0212765957446809
"XBP1(S) activates chaperone genes"	"XBP1(S) activates chaperone genes"	48	48	1	0.0208333333333333
"Amino acid and oligopeptide SLC transporters"	"Amino acid and oligopeptide SLC transporters"	49	49	1	0.0204081632653061
"Muscle contraction"	"Muscle contraction"	49	49	1	0.0204081632653061
"Influenza Infection"	"Influenza Infection"	148	148	3	0.0202702702702703
"Potassium Channels"	"Potassium Channels"	99	99	2	0.0202020202020202
"Cargo trafficking to the periciliary membrane"	"Cargo trafficking to the periciliary membrane"	51	51	1	0.0196078431372549
"Glycogen storage diseases"	"Glycogen storage diseases"	257	257	5	0.0194552529182879
"Metabolism of carbohydrates"	"Metabolism of carbohydrates"	257	257	5	0.0194552529182879
"Myoclonic epilepsy of Lafora"	"Myoclonic epilepsy of Lafora"	257	257	5	0.0194552529182879
"RNA Polymerase II Transcription"	"RNA Polymerase II Transcription"	104	104	2	0.0192307692307692
"Synthesis of substrates in N-glycan biosythesis"	"Synthesis of substrates in N-glycan biosythesis"	52	52	1	0.0192307692307692
"Metabolism of proteins"	"Metabolism of proteins"	694	694	13	0.0187319884726225
"Golgi Associated Vesicle Biogenesis"	"Golgi Associated Vesicle Biogenesis"	54	54	1	0.0185185185185185
"GABA receptor activation"	"GABA receptor activation"	55	55	1	0.0181818181818182
"RNA Polymerase I Chain Elongation"	"RNA Polymerase I Chain Elongation"	56	56	1	0.0178571428571429
"DNA Damage/Telomere Stress Induced Senescence"	"DNA Damage/Telomere Stress Induced Senescence"	58	58	1	0.0172413793103448
"Clathrin derived vesicle budding"	"Clathrin derived vesicle budding"	61	61	1	0.0163934426229508
"trans-Golgi Network Vesicle Budding"	"trans-Golgi Network Vesicle Budding"	61	61	1	0.0163934426229508
"Late Phase of HIV Life Cycle"	"Late Phase of HIV Life Cycle"	133	133	2	0.0150375939849624
"Biosynthesis of the N-glycan precursor (dolichol lipid-linked oligosaccharide, LLO) and transfer to a nascent protein"	"Biosynthesis of the N-glycan precursor (dolichol lipid-linked oligosaccharide, LLO) and transfer to a nascent protein"	67	67	1	0.0149253731343284
"Influenza Viral RNA Transcription and Replication"	"Influenza Viral RNA Transcription and Replication"	135	135	2	0.0148148148148148
"Influenza Life Cycle"	"Influenza Life Cycle"	143	143	2	0.013986013986014
"Eukaryotic Translation Termination"	"Eukaryotic Translation Termination"	84	84	1	0.0119047619047619
"Peptide chain elongation"	"Peptide chain elongation"	84	84	1	0.0119047619047619
"Mitochondrial translation elongation"	"Mitochondrial translation elongation"	86	86	1	0.0116279069767442
"Mitochondrial translation initiation"	"Mitochondrial translation initiation"	86	86	1	0.0116279069767442
"Mitochondrial translation termination"	"Mitochondrial translation termination"	86	86	1	0.0116279069767442
"Eukaryotic Translation Elongation"	"Eukaryotic Translation Elongation"	89	89	1	0.0112359550561798
"Nonsense Mediated Decay (NMD) independent of the Exon Junction Complex (EJC)"	"Nonsense Mediated Decay (NMD) independent of the Exon Junction Complex (EJC)"	89	89	1	0.0112359550561798
"Mitochondrial translation"	"Mitochondrial translation"	92	92	1	0.0108695652173913
"Viral mRNA Translation"	"Viral mRNA Translation"	92	92	1	0.0108695652173913
"Formation of a pool of free 40S subunits"	"Formation of a pool of free 40S subunits"	94	94	1	0.0106382978723404
"Transport of inorganic cations/anions and amino acids/oligopeptides"	"Transport of inorganic cations/anions and amino acids/oligopeptides"	94	94	1	0.0106382978723404
"Regulatory RNA pathways"	"Regulatory RNA pathways"	100	100	1	0.01
"3' -UTR-mediated translational regulation"	"3' -UTR-mediated translational regulation"	104	104	1	0.00961538461538462
"L13a-mediated translational silencing of Ceruloplasmin expression"	"L13a-mediated translational silencing of Ceruloplasmin expression"	104	104	1	0.00961538461538462
"GTP hydrolysis and joining of the 60S ribosomal subunit"	"GTP hydrolysis and joining of the 60S ribosomal subunit"	105	105	1	0.00952380952380952
"Nonsense Mediated Decay (NMD) enhanced by the Exon Junction Complex (EJC)"	"Nonsense Mediated Decay (NMD) enhanced by the Exon Junction Complex (EJC)"	106	106	1	0.00943396226415094
"Nonsense-Mediated Decay (NMD)"	"Nonsense-Mediated Decay (NMD)"	106	106	1	0.00943396226415094
"SRP-dependent cotranslational protein targeting to membrane"	"SRP-dependent cotranslational protein targeting to membrane"	109	109	1	0.00917431192660551
"Cap-dependent Translation Initiation"	"Cap-dependent Translation Initiation"	112	112	1	0.00892857142857143
"Eukaryotic Translation Initiation"	"Eukaryotic Translation Initiation"	112	112	1	0.00892857142857143
"mRNA Splicing"	"mRNA Splicing"	113	113	1	0.00884955752212389
"mRNA Splicing - Major Pathway"	"mRNA Splicing - Major Pathway"	113	113	1	0.00884955752212389
"Asparagine N-linked glycosylation"	"Asparagine N-linked glycosylation"	118	118	1	0.00847457627118644
"Defective ALG1 causes ALG1-CDG (CDG-1k)"	"Defective ALG1 causes ALG1-CDG (CDG-1k)"	118	118	1	0.00847457627118644
"Defective ALG11 causes ALG11-CDG (CDG-1p)"	"Defective ALG11 causes ALG11-CDG (CDG-1p)"	118	118	1	0.00847457627118644
"Defective ALG12 causes ALG12-CDG (CDG-1g)"	"Defective ALG12 causes ALG12-CDG (CDG-1g)"	118	118	1	0.00847457627118644
"Defective ALG14 causes congenital myasthenic syndrome (ALG14-CMS)"	"Defective ALG14 causes congenital myasthenic syndrome (ALG14-CMS)"	118	118	1	0.00847457627118644
"Defective ALG2 causes ALG2-CDG (CDG-1i)"	"Defective ALG2 causes ALG2-CDG (CDG-1i)"	118	118	1	0.00847457627118644
"Defective ALG3 causes ALG3-CDG (CDG-1d)"	"Defective ALG3 causes ALG3-CDG (CDG-1d)"	118	118	1	0.00847457627118644
"Defective ALG6 causes ALG6-CDG (CDG-1c)"	"Defective ALG6 causes ALG6-CDG (CDG-1c)"	118	118	1	0.00847457627118644
"Defective ALG8 causes ALG8-CDG (CDG-1h)"	"Defective ALG8 causes ALG8-CDG (CDG-1h)"	118	118	1	0.00847457627118644
"Defective ALG9 causes ALG9-CDG (CDG-1l)"	"Defective ALG9 causes ALG9-CDG (CDG-1l)"	118	118	1	0.00847457627118644
"Defective DPAGT1 causes DPAGT1-CDG (CDG-1j) and CMSTA2"	"Defective DPAGT1 causes DPAGT1-CDG (CDG-1j) and CMSTA2"	118	118	1	0.00847457627118644
"Defective MAN1B1 causes MRT15"	"Defective MAN1B1 causes MRT15"	118	118	1	0.00847457627118644
"Defective MGAT2 causes MGAT2-CDG (CDG-2a)"	"Defective MGAT2 causes MGAT2-CDG (CDG-2a)"	118	118	1	0.00847457627118644
"Defective MOGS causes MOGS-CDG (CDG-2b)"	"Defective MOGS causes MOGS-CDG (CDG-2b)"	118	118	1	0.00847457627118644
"Defective MPDU1 causes MPDU1-CDG (CDG-1f)"	"Defective MPDU1 causes MPDU1-CDG (CDG-1f)"	118	118	1	0.00847457627118644
"Defective RFT1 causes RFT1-CDG (CDG-1n)"	"Defective RFT1 causes RFT1-CDG (CDG-1n)"	118	118	1	0.00847457627118644
"Diseases associated with N-glycosylation of proteins"	"Diseases associated with N-glycosylation of proteins"	118	118	1	0.00847457627118644
"Rho GTPase cycle"	"Rho GTPase cycle"	121	121	1	0.00826446280991736
"Signaling by Rho GTPases"	"Signaling by Rho GTPases"	121	121	1	0.00826446280991736
"Post-translational protein modification"	"Post-translational protein modification"	278	278	2	0.00719424460431655
"Processing of Capped Intron-Containing Pre-mRNA"	"Processing of Capped Intron-Containing Pre-mRNA"	144	144	1	0.00694444444444444
"The citric acid (TCA) cycle and respiratory electron transport"	"The citric acid (TCA) cycle and respiratory electron transport"	147	147	1	0.00680272108843537
"Translation"	"Translation"	148	148	1	0.00675675675675676
"Diseases of glycosylation"	"Diseases of glycosylation"	226	226	1	0.00442477876106195
