"V1"
"2-LTR circle formation"	"XRCC4"
"Extracellular matrix organization"	"BCAN SDC3 VCAN NCSTN PRKCA CMA1 FURIN MMP1 MMP13 MMP15 MMP16 MMP17 PLG ICAM1 ITGA4 ITGAL VCAM1 LAMA3 LAMC2 PLEC COL11A1 COL1A2 COL24A1 COL3A1 COL4A1 COL4A3 COL4A4 COL5A1 COL5A2 COL5A3 COL6A2 COL6A3 COL6A6 DST ITGB4 LOXL2 ITGA1 ITGA2 ITGA5 ITGB3 LAMA1 LAMC1 ACTN1 CD44 CD47 CEACAM1 CEACAM6 FN1 CASK P4HB ADAMTS14 ADAMTS3 COL12A1 COL13A1 COL14A1 COL16A1 COL19A1 COL22A1 COLGALT1 COLGALT2 P3H2 PLOD2 PLOD3 FGG ACAN LUM ADAMTS4 ADAMTS9 CAPN1 CAPNS1 NID1 DAG1 ITGA7 ITGA8 ITGB6 LAMA2 LAMA4 LAMB2 LRP4 MATN1 PTPRS TNN EFEMP2 FBLN1 FBLN2 FBLN5 FBN1 FBN2 FBN3 LTBP1 LTBP4 MFAP3 DDR1 DDR2 DMD ITGAE LAMC3 NID2 NRXN1"
"Extrinsic Pathway"	"FADD FASLG UNC5A DAPK3"
"FBXW7 Mutants and NOTCH1 in Cancer"	"RPS27A APH1A NCSTN NOTCH1 CUL1 RBX1 CNTN1 DTX2 DTX4 ITCH JAG2 MIB1 MIB2 CREBBP TBL1XR1 FBXW7 EP300 NCOR1 NCOR2 HDAC5 HDAC7 HDAC9"
"FCERI mediated Ca+2 mobilization"	"BTK CALM1 SOS1 ITPR2 ITPR3 LAT SYK VAV2 NFATC1 TEC NFATC3 TXK"
"FCERI mediated MAPK activation"	"IL6 JAK2 MAP2K1 MAP2K2 MAPK1 FOS MAP2K4 PAK2 RAC1 SOS1 LAT SYK VAV2"
"FCERI mediated NF-kB activation"	"MAP3K7 NFKBIA TAB1 TAB3 CARD11 PRKCQ"
"FCGR activation"	"FCGR1A FCGR3A FYN SYK FCGR2A"
"FGFR ligand binding and activation"	"FGF17 FGF22 FGF19 FGFR3 FGFR4"
"FGFR1 ligand binding and activation"	"FGF17 FGF22"
"FGFR1b ligand binding and activation"	"FGF22"
"FGFR1c ligand binding and activation"	"FGF17"
"FGFR2 ligand binding and activation"	"FGF17 FGF22"
"FGFR2b ligand binding and activation"	"FGF22"
"FGFR2c ligand binding and activation"	"FGF17"
"FGFR3 ligand binding and activation"	"FGF17 FGFR3"
"FGFR3b ligand binding and activation"	"FGF17 FGFR3"
"FGFR3c ligand binding and activation"	"FGF17 FGFR3"
"FGFR4 ligand binding and activation"	"FGF17 FGF19 FGFR4"
"FMO oxidises nucleophiles"	"FMO2"
"FRS2-mediated cascade"	"IL6 JAK2 MAP2K1 MAP2K2 MAPK1 FGF17 FGF22 SOS1 FGF19 FGFR3 FGFR4"
"Factors involved in megakaryocyte development and platelet production"	"JAK2 TP53 PRKACA PRKACB RAC1 CREBBP CENPE KIF11 KIF15 KIF18A KIF23 KIF2C KIF3B KIF4A KIF4B KIF5C CAPZA1 PRKAR1A EP300 DOCK1 HMG20B PHF21A IFNA21 IFNA8 IRF1 IRF2 GATA6 DOCK2 DOCK3 DOCK7 DOCK8 HBE1 LRRC16A MFN1 MFN2 MYB"
"Fanconi Anemia pathway"	"RPS27A BRCA1 BRCA2 FANCA FANCM"
"FasL/ CD95L signaling"	"FADD FASLG"
"Fatty Acids bound to GPR40 (FFAR1) regulate insulin secretion"	"GNA15 PLCB1 PLCB2"
"Fatty Acyl-CoA Biosynthesis"	"FASN ACLY ACSL1 ACSL4 TECR TECRL"
"Fatty acid, triacylglycerol, and ketone body metabolism"	"NFYC ACACB CHD9 CREBBP FASN GPAM HMGCR NCOA2 SMARCD3 TBL1XR1 LCLAT1 LPCAT1 CYP4A11 EP300 CLOCK NCOR1 NPAS2 RORA ACADS ACADM ACADVL PCCA LPIN3 TIAM2 ACLY NCOR2 MED11 MED12 MED13 MED29 NCOA3 WWTR1 ACSL1 ACSL4 TECR TECRL ABCA1 ABCB4 CPT2 ECI1 ESRRA G0S2 GRHL1 NRF1 PLIN2 RGL1 SLC27A1 TEAD1 YAP1"
"Fatty acids"	"CYP4A11 CYP4A22 CYP4F8 CYP4F12"
"Fc epsilon receptor (FCERI) signaling"	"AKT1 RPS6KB2 IL6 JAK2 MAP2K1 MAP2K2 MAPK1 BTK FOS MAP2K4 MAP3K7 NFKBIA TAB1 TAB3 FGF17 FGF22 CALM1 CARD11 PAK2 RAC1 SOS1 AGO1 AGO3 AGO4 CD80 EGF EGFR ERBB2 ERBB3 ERBB4 FGF19 FGFR3 FGFR4 FYN GAB1 IRS2 ITPR2 ITPR3 LAT MTOR PDGFRA PHLPP1 PIK3CA PIK3CB PIK3CD PIK3R1 PIK3R3 PRKCQ PTEN RICTOR SYK TNRC6B TNRC6C VAV2 NFATC1 TEC NFATC3 TXK"
"Fcgamma receptor (FCGR) dependent phagocytosis"	"MAPK1 BTK NCK1 RAC1 FCGR1A FCGR3A FYN ITPR2 ITPR3 PIK3CA PIK3CB PIK3R1 SYK PTK2 HSP90AB1 ACTB DOCK1 LIMK1 MYH9 VAV2 WASL FCGR2A ABI1 ELMO2 MYH2 MYO1C MYO5A NCKAP1 PLD1 WASF2 WIPF1"
"Fertilization"	"ACR ADAM2 ADAM20 ADAM21 CATSPER1 CATSPER2 CATSPER3 CATSPERB IZUMO2 IZUMO4 ZP2"
"Fibronectin matrix formation"	"ITGA5 CEACAM1 CEACAM6 FN1"
"Folding of actin by CCT/TriC"	"TCP1 CCT6A ACTB"
"Formation of ATP by chemiosmotic coupling"	"ATP5B ATP5S"
"Formation of Fibrin Clot (Clotting Cascade)"	"PROS1 KNG1 F13B F5 FGG SERPINC1 SERPINE2 VWF"
"Formation of HIV elongation complex in the absence of HIV Tat"	"GTF2F1 NELFB POLR2A POLR2B GTF2H1 CCNT1 ELL SUPT16H"
"Formation of HIV-1 elongation complex containing HIV-1 Tat"	"GTF2F1 NELFB POLR2A POLR2B GTF2H1 CCNT1 ELL SUPT16H"
"Formation of RNA Pol II elongation complex"	"GTF2F1 NELFB POLR2A POLR2B GTF2H1 CCNT1 ELL SUPT16H"
"Formation of Senescence-Associated Heterochromatin Foci (SAHF)"	"TP53 HIST1H1D RB1 CABIN1 HIRA HMGA2"
"Formation of a pool of free 40S subunits"	"EIF3D RPL3L RPL4 RPS13 RPS27A"
"Formation of annular gap junctions"	"CLTA DNM2 CLTCL1"
"Formation of apoptosome"	"APAF1"
"Formation of incision complex in GG-NER"	"ERCC5 GTF2H1"
"Formation of the Early Elongation Complex"	"GTF2F1 NELFB POLR2A POLR2B GTF2H1"
"Formation of the HIV-1 Early Elongation Complex"	"GTF2F1 NELFB POLR2A POLR2B GTF2H1"
"Formation of the ternary complex, and subsequently, the 43S complex"	"EIF2S1 EIF3D RPS13 RPS27A"
"Formation of transcription-coupled NER (TC-NER) repair complex"	"POLR2A POLR2B ERCC5 ERCC8 GTF2H1"
"Formation of tubulin folding intermediates by CCT/TriC"	"TCP1 CCT6A"
"Formyl peptide receptors bind formyl peptides and many other ligands"	"APP"
"Free fatty acids regulate insulin secretion"	"GNA15 PLCB1 PLCB2"
"Frs2-mediated activation"	"BRAF IL6 JAK2 MAP2K1 MAP2K2 MAPK1"
"Fusion and Uncoating of the Influenza Virion"	"BLOC1S6"
"Fusion of the Influenza Virion to the Host Cell Endosome"	"BLOC1S6"
"G alpha (12/13) signalling events"	"GNB2 GNB3 GNG8 RAC1 SOS1 PIK3CA PIK3R1 PIK3R3 ADRA1D ROCK1 ARHGEF7 ITSN1 KALRN PLXNB1 RHOA RHOC ROCK2 TIAM1 TRIO VAV2 ARHGEF1 ABR AKAP13 ARHGAP4 ARHGEF16 ARHGEF6 FGD2 OBSCN PLEKHG2 TIAM2"
"G alpha (i) signalling events"	"GNB2 GNB3 GNG8 APP C5 ADCY1 ADCY2 ADCY3 ADCY8 ADCY9 RHO ADRA2C DRD2 DRD3 POMC GNAS GNAT2 CCR1 CCR3 CXCR3 CNR1 GAL GALR2 GPR17 GPR55 HCAR3 KNG1 NMUR1 NMUR2 NPY5R OPN3 OPN5 OPRL1 P2RY13 PTGER3 RXFP3 S1PR4 SSTR4 GRM3 GRM6 GRM7 GRM8 TAS2R16 TAS2R46 TAS2R60 RGS9 RGS12 RGS14 RGS4"
"G alpha (q) signalling events"	"GNA15 GNB2 GNB3 GNG8 PLCB1 PLCB2 APP ITPR2 ITPR3 PIK3CA PIK3R1 PIK3R3 PRKCQ ADRA1D HTR2A DAGLA KALRN TRIO TRPC6 XCL1 AGTR1 AVPR1A CCKAR F2RL3 GHSR GPR132 GPR17 HCRTR2 KNG1 LPAR4 MLN MLNR NMUR1 NMUR2 GPRC6A GRM5 DGKE DGKG PLCB4"
"G alpha (s) signalling events"	"GNB2 GNB3 GNG8 ADCY1 ADCY2 ADCY3 ADCY8 ADCY9 POMC GNAS CALCRL LHCGR MC2R MC3R MC5R PTGER2 PTH2R PDE4B PDE10A PDE11A PDE3A PDE7A PDE8A PDE8B"
"G alpha (z) signalling events"	"GNB2 GNB3 GNG8 PRKCA ADCY1 ADCY2 ADCY3 ADCY8 ADCY9 PRKCQ ADRA2C GNAS RGS4 RGS17"
"G beta:gamma signalling through PI3Kgamma"	"GNB2 GNB3 GNG8 AKT1 JAK2 PIK3CA PIK3CB PIK3CD PIK3R1 PIK3R3 RHOA IL2RB IL3RA PIK3R6"
"G beta:gamma signalling through PLC beta"	"GNB2 GNB3 GNG8 PLCB1 PLCB2"
"G protein gated Potassium channels"	"GNB2 GNB3 GNG8 KCNJ16 KCNJ3"
"G-protein activation"	"GNB2 GNB3 GNG8 POMC GNAT2"
"G-protein beta:gamma signalling"	"GNB2 GNB3 GNG8 AKT1 JAK2 PLCB1 PLCB2 PIK3CA PIK3CB PIK3CD PIK3R1 PIK3R3 RHOA IL2RB IL3RA PIK3R6"
"G-protein mediated events"	"PLA2G4A MAPK1 PLCB1 PLCB2 PRKCA CALM1 ADCY1 ADCY2 ADCY3 ADCY8 ADCY9 PRKACA PRKACB ITPR2 ITPR3 PRKAR1A PDE1C GNAT2 PLCB4"
"G0 and Early G1"	"CCNA1 TFDP1 DYRK1A LIN37 LIN52 LIN54 RBL1 TOP2A"
"G1 Phase"	"RPS27A CUL1 PPP2R1B SKP2 TFDP1 CKS1B PPP2R3B RB1 RBL1"
"G1/S DNA Damage Checkpoints"	"RPS27A PSMA1 PSMA8 PSMB10 PSMD2 PSMD4 TP53"
"G1/S Transition"	"RPS27A CUL1 PPP2R1B PSMA1 PSMB10 PSMD2 PSMD4 CCNA1 SKP2 MCM2 MCM4 MCM7 ORC6 TFDP1 POLE CKS1B PKMYT1 PPP2R3B RB1"
"G1/S-Specific Transcription"	"CCNA1 TFDP1"
"G2 Phase"	"CCNA1"
"G2/M Checkpoints"	"ATRIP CLSPN MCM2 MCM4 MCM7 ORC6 RAD17 PKMYT1"
"G2/M DNA damage checkpoint"	"ATRIP"
"G2/M DNA replication checkpoint"	"PKMYT1"
"G2/M Transition"	"RPS27A CUL1 PPP2R1B CCNA1 AKAP9 PRKACA DYNC1H1 ALMS1 CCP110 CEP135 CEP290 CKAP5 CLASP1 CNTRL NEDD1 ODF2 PCM1 PCNT SFI1 EP300 FOXM1 LIN37 LIN52 LIN54 NUMA1 PKMYT1 PPP1R12B TUBG2 TUBGCP6"
"GAB1 signalosome"	"AKT1 RPS6KB2 FGF17 FGF22 AGO1 AGO3 AGO4 CD80 EGF EGFR ERBB2 ERBB3 ERBB4 FGF19 FGFR3 FGFR4 FYN GAB1 IRS2 MTOR PAG1 PDGFRA PHLPP1 PIK3CA PIK3CB PIK3CD PIK3R1 PIK3R3 PTEN RICTOR TNRC6B TNRC6C PXN"
"GABA A receptor activation"	"GABRA1 GABRA2 GABRA3 GABRA5 GABRB1"
"GABA B receptor activation"	"GNB2 GNB3 GNG8 KCNJ16 KCNJ3 ADCY1 ADCY2 ADCY3 ADCY8 ADCY9"
"GABA receptor activation"	"GNB2 GNB3 GNG8 KCNJ16 KCNJ3 ADCY1 ADCY2 ADCY3 ADCY8 ADCY9 GABRA1 GABRA2 GABRA3 GABRA5 GABRB1"
"GABA synthesis, release, reuptake and degradation"	"RIMS1 SNAP25 STX1A SYT1 ABAT"
"GLI proteins bind promoters of Hh responsive genes to promote transcription"	"BOC PTCH1 PTCH2 GLI1 GLI3"
"GLI3 is processed to GLI3R by the proteasome"	"RPS27A CUL1 PSMA1 PSMA8 PSMB10 PSMD2 PSMD4 RBX1 PRKACA PRKACB SUFU GLI3"
"GP1b-IX-V activation signalling"	"PIK3R1 VWF"
"GPCR downstream signaling"	"GNA15 GNB2 GNB3 GNG8 AKT1 JAK2 PLCB1 PLCB2 PRKCA APP C5 ADCY1 ADCY2 ADCY3 ADCY8 ADCY9 RAC1 SOS1 RHO ITPR2 ITPR3 PIK3CA PIK3CB PIK3CD PIK3R1 PIK3R3 PRKCQ ADRA2C ADRA1D DRD2 DRD3 HTR2A POMC ROCK1 GNAS DAGLA ARHGEF7 ITSN1 KALRN PLXNB1 RHOA RHOC ROCK2 TIAM1 TRIO TRPC6 VAV2 ARHGEF1 GNAT2 CALCRL ABR AKAP13 ARHGAP4 ARHGEF16 ARHGEF6 FGD2 OBSCN PLEKHG2 TIAM2 CCR1 CCR3 CXCR3 XCL1 AGTR1 AVPR1A CCKAR CNR1 F2RL3 GAL GALR2 GHSR GPR132 GPR17 GPR55 HCAR3 HCRTR2 KNG1 LHCGR LPAR4 MC2R MC3R MC5R MLN MLNR NMUR1 NMUR2 NPY5R OPN3 OPN5 OPRL1 P2RY13 PTGER2 PTGER3 RXFP3 S1PR4 SSTR4 PTH2R GPRC6A GRM3 GRM5 GRM6 GRM7 GRM8 TAS2R16 TAS2R46 TAS2R60 IL2RB IL3RA PDE4B RGS9 DGKE DGKG RGS12 RGS14 RGS4 PLCB4 PDE10A PDE11A PDE3A PDE7A PDE8A PDE8B RGS17 PIK3R6 OR10AG1 OR10K1 OR11H1 OR11H4 OR11L1 OR13G1 OR13H1 OR13J1 OR14I1 OR1C1 OR1F1 OR1J4 OR1L3 OR1L4 OR1M1 OR2A2 OR2D3 OR2F1 OR2G2 OR2L13 OR2L8 OR2M2 OR2M3 OR2M4 OR2M5 OR2T3 OR2W1 OR2W3 OR4A5 OR4B1 OR4C11 OR4C12 OR4D2 OR4D6 OR4D9 OR4E2 OR4F6 OR4K1 OR4K15 OR51A2 OR51G1 OR51G2 OR51L1 OR51V1 OR52I1 OR52K2 OR52N4 OR5A1 OR5B17 OR5D13 OR5D16 OR5H14 OR5H6 OR6B3 OR6T1 OR8D2 OR8G5 OR8H3 OR8I2 OR8J3 OR8S1 OR8U1"
"GPCR ligand binding"	"GNB2 GNB3 GNG8 CCL2 APP C5 PTCH1 RHO ADRA2C ADRA1D DRD2 DRD3 HTR2A POMC GNAS FZD3 CALCRL CCR1 CCR3 CCRL2 CXCR3 XCL1 AGTR1 AVPR1A C5AR2 CCKAR CNR1 F2RL3 GAL GALR2 GHSR GPR132 GPR17 GPR37L1 GPR55 HCAR3 HCRTR2 KNG1 LHCGR LPAR4 MC2R MC3R MC5R MLN MLNR NMUR1 NMUR2 NPY5R OPN3 OPN5 OPRL1 P2RY13 PTGER2 PTGER3 RXFP3 S1PR4 SSTR4 PTCH2 PTH2R WNT2 GPRC6A GRM3 GRM5 GRM6 GRM7 GRM8 TAS2R16 TAS2R46 TAS2R60"
"GPVI-mediated activation cascade"	"AKT1 JAK2 RAC1 FYN LAT PIK3CA PIK3CB PIK3CD PIK3R1 PIK3R3 SYK RHOA VAV2 IL2RB IL3RA PRKCZ PIK3R6"
"GRB2 events in EGFR signaling"	"IL6 JAK2 MAP2K1 MAP2K2 MAPK1 SOS1 EGF EGFR"
"GRB2 events in ERBB2 signaling"	"IL6 JAK2 MAP2K1 MAP2K2 MAPK1 SOS1 EGF EGFR ERBB2 ERBB4"
"GRB2:SOS provides linkage to MAPK signaling for Integrins"	"SOS1 PTK2 ITGB3 TLN1 FN1 FGG VWF APBB1IP"
"GRB7 events in ERBB2 signaling"	"ERBB2 ERBB3"
"GTP hydrolysis and joining of the 60S ribosomal subunit"	"EIF2S1 EIF3D EIF4G1 RPL3L RPL4 RPS13 RPS27A"
"Gamma carboxylation, hypusine formation and arylsulfatase activation"	"FURIN ARSB GAS6 PROS1 ARSE ARSF ARSH ARSI DPH3 STS SUMF2"
"Gamma-carboxylation of protein precursors"	"GAS6 PROS1"
"Gamma-carboxylation, transport, and amino-terminal cleavage of proteins"	"FURIN GAS6 PROS1"
"Gap junction assembly"	"GJA9 GJB3"
"Gap junction degradation"	"CLTA DNM2 CLTCL1"
"Gap junction trafficking"	"CLTA DNM2 CLTCL1 GJA9 GJB3"
"Gap junction trafficking and regulation"	"CLTA DNM2 CLTCL1 GJA9 GJB3"
"Gap-filling DNA repair synthesis and ligation in GG-NER"	"POLE POLD1 POLD3"
"Gap-filling DNA repair synthesis and ligation in TC-NER"	"POLE POLD1 POLD3"
"Gastrin-CREB signalling pathway via PKC and MAPK"	"GNA15 GNB2 GNB3 GNG8 IL6 JAK2 MAP2K1 MAP2K2 MAPK1 PLCB1 PLCB2 PRKCA APP MAPK7 SOS1 EGFR ITPR2 ITPR3 PIK3CA PIK3R1 PIK3R3 PRKCQ ADRA1D HTR2A DAGLA KALRN TRIO TRPC6 XCL1 AGTR1 AVPR1A CCKAR F2RL3 GHSR GPR132 GPR17 HCRTR2 KNG1 LPAR4 MLN MLNR NMUR1 NMUR2 GPRC6A GRM5 DGKE DGKG PLCB4"
"Gene Expression"	"EIF2S1 EIF3D EIF4G1 RPL3L RPL4 RPS13 RPS27A NOTCH1 NOTCH3 AKT1 PSMA1 PSMA8 PSMB10 PSMD2 PSMD4 DCP2 EXOSC5 PARN HNRNPD GTF2F1 NELFB POLR2A POLR2B PRKCA DHX9 TFDP1 CHD9 CREBBP NCOA2 SMARCD3 TBL1XR1 AGO1 AGO3 AGO4 RNF111 TNRC6B TNRC6C DDOST HIST1H2AB HIST1H2BH HIST2H2AC HIST3H2BB NPPA NUP153 NUP155 NUP205 NUP37 NUP43 NUP50 NUP54 NUP93 RANBP2 TPR RPN2 TNPO1 ACTB NCOR1 RORA TDG DCP1A XRN1 ZFP36L1 EIF2B5 RBL1 SMARCA5 CD44 EED EHMT2 EEF1A1 ARID4B CHD3 GATAD2B MBD3 MTA1 NCOR2 PRMT5 WDR77 CDC40 CPSF7 DHX38 SNRPB SRSF5 SRSF6 ZNF473 POLR3A POLR3F POLR3GL LARS QARS YARS GTF2H1 DNMT1 DNMT3B UHRF1 CNOT1 CNOT10 CNOT2 CNOT6L TNKS1BP1 PATL1 HNF4G MED12 MED13 NR5A2 SMAD2 SMAD4 CCNT1 ELL GTF2E1 SUPT16H TAF1 TAF1L TAF4 TAF5 USP9X WWTR1 JARID2 PHF19 RRP8 TAF1C TET1 ETF1 ESRRA TEAD1 YAP1 AR ASZ1 BRF1 CDC5L DNAJC8 EFTUD2 FARS2 GEMIN5 GTF3A GTF3C1 GTF3C2 GTF3C3 HENMT1 HNRNPH2 HNRNPL HNRNPM HNRNPR HNRNPU IARS2 IGF2 MARS2 NHP2L1 NKX2-5 NR1D2 PCBP2 PHF5A PIWIL2 POLRMT PRPF6 RARG RXRB RXRG SF3A2 SF3A3 SMG1 SNAPC4 SNRPA SUGP1 TARBP2 TDRD6 TFB2M UPF1 UPF2 ZFP14 ZFP2 ZFP69B ZIM2 ZKSCAN4 ZNF10 ZNF124 ZNF135 ZNF136 ZNF143 ZNF155 ZNF169 ZNF175 ZNF180 ZNF184 ZNF19 ZNF202 ZNF208 ZNF211 ZNF213 ZNF214 ZNF221 ZNF266 ZNF273 ZNF274 ZNF3 ZNF302 ZNF320 ZNF324B ZNF331 ZNF33A ZNF354A ZNF354C ZNF382 ZNF383 ZNF394 ZNF416 ZNF43 ZNF430 ZNF432 ZNF460 ZNF471 ZNF479 ZNF480 ZNF483 ZNF484 ZNF486 ZNF528 ZNF540 ZNF543 ZNF544 ZNF546 ZNF547 ZNF549 ZNF554 ZNF555 ZNF562 ZNF563 ZNF569 ZNF570 ZNF584 ZNF585B ZNF610 ZNF625 ZNF627 ZNF665 ZNF667 ZNF671 ZNF677 ZNF682 ZNF704 ZNF707 ZNF71 ZNF711 ZNF713 ZNF716 ZNF730 ZNF735 ZNF737 ZNF74 ZNF750 ZNF75D ZNF761 ZNF782 ZNF786 ZNF799 ZNF804B ZNF860 ZNF99"
"Generation of second messenger molecules"	"NCK1 PAK2 LAT"
"Generic Transcription Pathway"	"RPS27A NOTCH1 NOTCH3 TFDP1 CHD9 CREBBP NCOA2 SMARCD3 TBL1XR1 RNF111 NPPA NCOR1 RORA RBL1 NCOR2 ZNF473 HNF4G MED12 MED13 NR5A2 SMAD2 SMAD4 CCNT1 USP9X WWTR1 ESRRA TEAD1 YAP1 AR NKX2-5 NR1D2 RARG RXRB RXRG ZFP14 ZFP2 ZFP69B ZIM2 ZKSCAN4 ZNF10 ZNF124 ZNF135 ZNF136 ZNF155 ZNF169 ZNF175 ZNF180 ZNF184 ZNF19 ZNF202 ZNF208 ZNF211 ZNF213 ZNF214 ZNF221 ZNF266 ZNF273 ZNF274 ZNF3 ZNF302 ZNF320 ZNF324B ZNF331 ZNF33A ZNF354A ZNF354C ZNF382 ZNF383 ZNF394 ZNF416 ZNF43 ZNF430 ZNF432 ZNF460 ZNF471 ZNF479 ZNF480 ZNF483 ZNF484 ZNF486 ZNF528 ZNF540 ZNF543 ZNF544 ZNF546 ZNF547 ZNF549 ZNF554 ZNF555 ZNF562 ZNF563 ZNF569 ZNF570 ZNF584 ZNF585B ZNF610 ZNF625 ZNF627 ZNF665 ZNF667 ZNF671 ZNF677 ZNF682 ZNF704 ZNF707 ZNF71 ZNF711 ZNF713 ZNF716 ZNF730 ZNF735 ZNF737 ZNF74 ZNF750 ZNF75D ZNF761 ZNF782 ZNF786 ZNF799 ZNF804B ZNF860 ZNF99"
"Global Genomic NER (GG-NER)"	"POLE POLD1 POLD3 ERCC5 GTF2H1"
"Glucagon signaling in metabolic regulation"	"GNB2 GNB3 GNG8 ADCY1 ADCY2 ADCY3 ADCY8 ADCY9 PRKACA PRKACB GNAS PRKAR1A"
"Glucagon-like Peptide-1 (GLP1) regulates insulin secretion"	"GNB2 GNB3 GNG8 ADCY8 PRKACA PRKACB ITPR2 ITPR3 RAPGEF3 GNAS PRKAR1A IQGAP1 KCNB1 KCNC2 KCNS3"
"Glucagon-type ligand receptors"	"GNB2 GNB3 GNG8 GNAS"
"Glucocorticoid biosynthesis"	"POMC CYP11B1"
"Gluconeogenesis"	"PRKACA PRKACB PC GAPDHS PFKFB1 PGK1"
"Glucose metabolism"	"RPS27A PPP2R1B CALM1 PRKACA PRKACB PC AGL GAPDHS GYG2 NHLRC1 PFKFB1 PGK1 PHKA2 PHKG2 PYGM"
"Glucose transport"	"NUP153 NUP155 NUP205 NUP37 NUP43 NUP50 NUP54 NUP93 RANBP2 TPR GCK G6PC3 GCKR HK3"
"Glucuronidation"	"UGT2B10 UGT2B11"
"Glutamate Binding, Activation of AMPA Receptors and Synaptic Plasticity"	"PRKCA GRIA1 GRIA2 GRIA3 DLG1 CAMK2A CAMK2B AP2A2 CACNG2 CACNG4 GRIP1"
"Glutamate Neurotransmitter Release Cycle"	"PPFIA1 PPFIA2 PPFIA3 PPFIA4 RIMS1 SNAP25 STX1A SYT1 SLC1A6 SLC1A7 GLS2"
"Glutathione conjugation"	"GGT1 GGT6 GSTA3"
"Glutathione synthesis and recycling"	"GGT1 GGT6"
"Glycerophospholipid biosynthesis"	"PLA2G4A GPAM LCLAT1 LPCAT1 PLA2G4D PLA2G4E PNPLA8 MBOAT7 SLC44A1 SLC44A2 LPIN3 PLD1 BCHE PGS1"
"Glycogen breakdown (glycogenolysis)"	"CALM1 AGL GYG2 PHKA2 PHKG2 PYGM"
"Glycogen storage diseases"	"RPS27A PRPS1 PRPS1L1 B3GAT1 BCAN GPC3 GPC4 GPC5 SDC3 VCAN PPP2R1B CALM1 PRKACA PRKACB NUP153 NUP155 NUP205 NUP37 NUP43 NUP50 NUP54 NUP93 RANBP2 TPR ST3GAL3 STAB2 PAPSS1 SLC26A2 PC ARSB HEXA CD44 CHPF2 CHST11 CHST15 CSGALNACT1 ACAN B3GNT3 CHP1 CHST5 HAS1 HAS3 HS2ST1 HS6ST1 LUM SLC35D2 GCK LCT MGAM SI AGL G6PC3 GAPDHS GCKR GYG2 HK3 NHLRC1 PFKFB1 PGK1 PHKA2 PHKG2 PYGM RPE SLC5A2 SLC5A9"
"Glycogen synthesis"	"RPS27A GYG2 NHLRC1"
"Glycolysis"	"PPP2R1B GAPDHS PFKFB1 PGK1"
"Glycoprotein hormones"	"INHBE"
"Glycosaminoglycan metabolism"	"B3GAT1 BCAN GPC3 GPC4 GPC5 SDC3 VCAN ST3GAL3 STAB2 PAPSS1 SLC26A2 ARSB HEXA CD44 CHPF2 CHST11 CHST15 CSGALNACT1 ACAN B3GNT3 CHP1 CHST5 HAS1 HAS3 HS2ST1 HS6ST1 LUM SLC35D2"
"Glycosphingolipid metabolism"	"NEU2 ARSB HEXA ARSE ARSF ARSH ARSI STS SUMF2 ASAH2 ASAH2B GBA2 UGCG"
"Glyoxylate metabolism"	"GRHPR"
"Golgi Associated Vesicle Biogenesis"	"AP1G1 CLTA DNM2 BLOC1S6 AP3B1 AP4E1 BLOC1S3 CLINT1 DNAJC6 GAK IGF2R RAB5C SNX5 TGOLN2"
"Golgi Cisternae Pericentriolar Stack Reorganization"	"MAPK1 RAB1A RAB2A"
"Golgi to ER Retrograde Transport"	"ARCN1 ARFGAP1 COPA COPB1 COPG1"
"Growth hormone receptor signaling"	"JAK2 MAPK1 IRS2 STAT1 STAT3 CISH STAT5A"
"HATs acetylate histones"	"CREBBP HIST1H2AB HIST1H2BH HIST2H2AC HIST3H2BB EP300 ACTB CLOCK BRD8 BRPF1 ELP2 ELP3 ELP5 HCFC1 HIST2H2AB IKBKAP JADE1 JADE3 KANSL1 KANSL3 KAT6A KAT7 KAT8 MSL1 TADA2A TAF6L TRRAP WDR5 YEATS2"
"HCN channels"	"HCN1 HCN2 HCN4"
"HDACs deacetylate histones"	"TBL1XR1 HIST1H2AB HIST1H2BH HIST2H2AC HIST3H2BB NCOR1 ARID4A ARID4B CHD3 GATAD2B HIST2H2AB HMG20B MBD3 MTA1 NCOR2 PHF21A"
"HDL-mediated lipid transport"	"ABCG1 ALB CUBN ABCA1 LCAT"
"HDMs demethylate histones"	"KDM6B ARID5B KDM2A KDM2B KDM3B KDM4A KDM5B KDM5C KDM6A KDM7A"
"HIV Infection"	"XRCC4 RPS27A PSMA1 PSMA8 PSMB10 PSMD2 PSMD4 RBX1 GTF2F1 NELFB POLR2A POLR2B KPNA1 FURIN PAK2 RAC1 AP1G1 AP2A2 B2M FYN HLA-A NUP153 NUP155 NUP205 NUP37 NUP43 NUP50 NUP54 NUP93 RANBP2 TPR FEN1 GTF2H1 CCNT1 DOCK2 ELL GTF2E1 SUPT16H TAF1 TAF1L TAF4 TAF5"
"HIV Life Cycle"	"XRCC4 RPS27A GTF2F1 NELFB POLR2A POLR2B KPNA1 FURIN NUP153 NUP155 NUP205 NUP37 NUP43 NUP50 NUP54 NUP93 RANBP2 TPR FEN1 GTF2H1 CCNT1 ELL GTF2E1 SUPT16H TAF1 TAF1L TAF4 TAF5"
"HIV Transcription Elongation"	"GTF2F1 NELFB POLR2A POLR2B GTF2H1 CCNT1 ELL SUPT16H"
"HIV Transcription Initiation"	"GTF2F1 POLR2A POLR2B GTF2H1 GTF2E1 TAF1 TAF1L TAF4 TAF5"
