"V1"
"2-LTR circle formation"	"PSIP1 XRCC4 XRCC6"
"Signal amplification"	"GNB3 GNG12 GNG2 P2RY1 GNAI1 GNAI3 GNAT3 TBXA2R"
"Signal attenuation"	"CRK SOS1 DOK1 SHC3 GRB10 INSR"
"Signal regulatory protein (SIRP) family interactions"	"FYB PTK2 SIRPG SIRPB1"
"Signal transduction by L1"	"MAP2K1 RAC1 EGFR FGFR1 ITGAV ITGB1 CSNK2A1 ITGA2B ITGA5 ITGA9 ITGB3 NRP1"
"Signaling by Activin"	"ACVR1B ACVR1C ACVR2A SMAD2 SMAD3 SMAD4"
"Signaling by BMP"	"SMURF2 ACVR2A SMAD4 BMP2 BMPR1B BMPR2 FSTL1 GREM2 SMAD5 ZFYVE16"
"Signaling by EGFR"	"AKT2 AKT3 CDKN1B MDM2 FOXO1 FOXO4 UBB UBC HRAS IL6ST JAK1 JAK2 KRAS MAP2K1 PRKCA ADAM17 FGF1 FGF10 FGF2 FGF20 FGF23 FGFR2 ADCY1 ADCY2 ADCY3 ADCY4 ADCY5 ADCY6 ADCY8 ADCY9 PRKACA SOS1 ADRBK1 AGO1 AGO2 AGO3 AGO4 AP2A1 AP2B1 CBL CD19 CD28 CD80 CDC42 EGF EGFR ERBB3 ERBB4 FGFR1 FGFR3 FGFR4 FYN ITPR1 ITPR2 ITPR3 KIT KL LCK MTOR NRG1 NRG2 NRG3 PDGFRA PDGFRB PHLPP2 PIK3CA PIK3CB PIK3R1 PLCG1 PTEN RICTOR SH3GL2 SH3KBP1 TNRC6A TNRC6B TRAT1 PRKAR2B PDE1A PDE1C PRKCG ADAM12 EPN1 EPS15 EPS15L1 SPRY1 SPRY2"
"Signaling by EGFR in Cancer"	"AKT2 AKT3 CDKN1B MDM2 FOXO1 FOXO4 UBB UBC HRAS IL6ST JAK1 JAK2 KRAS MAP2K1 PRKCA ADAM17 FGF1 FGF10 FGF2 FGF20 FGF23 FGFR2 ADCY1 ADCY2 ADCY3 ADCY4 ADCY5 ADCY6 ADCY8 ADCY9 PRKACA SOS1 ADRBK1 AGO1 AGO2 AGO3 AGO4 AP2A1 AP2B1 CBL CD19 CD28 CD80 CDC42 EGF EGFR ERBB3 ERBB4 FGFR1 FGFR3 FGFR4 FYN ITPR1 ITPR2 ITPR3 KIT KL LCK MTOR NRG1 NRG2 NRG3 PDGFRA PDGFRB PHLPP2 PIK3CA PIK3CB PIK3R1 PLCG1 PTEN RICTOR SH3GL2 SH3KBP1 TNRC6A TNRC6B TRAT1 PRKAR2B PDE1A PDE1C PRKCG ADAM12 EPN1 EPS15 EPS15L1 SPRY1 SPRY2"
"Signaling by EGFRvIII in Cancer"	"AKT2 AKT3 CDKN1B MDM2 FOXO1 FOXO4 UBB UBC HRAS IL6ST JAK1 JAK2 KRAS MAP2K1 PRKCA ADAM17 FGF1 FGF10 FGF2 FGF20 FGF23 FGFR2 ADCY1 ADCY2 ADCY3 ADCY4 ADCY5 ADCY6 ADCY8 ADCY9 PRKACA SOS1 ADRBK1 AGO1 AGO2 AGO3 AGO4 AP2A1 AP2B1 CBL CD19 CD28 CD80 CDC42 EGF EGFR ERBB3 ERBB4 FGFR1 FGFR3 FGFR4 FYN ITPR1 ITPR2 ITPR3 KIT KL LCK MTOR NRG1 NRG2 NRG3 PDGFRA PDGFRB PHLPP2 PIK3CA PIK3CB PIK3R1 PLCG1 PTEN RICTOR SH3GL2 SH3KBP1 TNRC6A TNRC6B TRAT1 PRKAR2B PDE1A PDE1C PRKCG ADAM12 EPN1 EPS15 EPS15L1 SPRY1 SPRY2"
"Signaling by ERBB2"	"AKT2 AKT3 CDKN1B MDM2 FOXO1 FOXO4 UBB UBC HRAS IL6ST JAK1 JAK2 KRAS MAP2K1 PRKCA FGF1 FGF10 FGF2 FGF20 FGF23 FGFR2 ADCY1 ADCY2 ADCY3 ADCY4 ADCY5 ADCY6 ADCY8 ADCY9 PRKACA SOS1 ADRBK1 AGO1 AGO2 AGO3 AGO4 CD19 CD28 CD80 CUL5 EGF EGFR ERBB3 ERBB4 FGFR1 FGFR3 FGFR4 FYN ITPR1 ITPR2 ITPR3 KIT KL LCK MTOR NRG1 NRG2 NRG3 PDGFRA PDGFRB PHLPP2 PIK3CA PIK3CB PIK3R1 PLCG1 PTEN RICTOR STUB1 TNRC6A TNRC6B TRAT1 YES1 PRKAR2B PDE1A PDE1C PRKCG GRB7 USP8 ERBB2IP"
"Signaling by ERBB4"	"APH1A AKT2 AKT3 CDKN1B MDM2 FOXO1 FOXO4 CUL1 SKP1 UBB UBC HRAS IL6ST JAK1 JAK2 KRAS MAP2K1 ADAM17 S100B TAB2 FGF1 FGF10 FGF2 FGF20 FGF23 FGFR2 SOS1 AGO1 AGO2 AGO3 AGO4 CD19 CD28 CD80 EGF EGFR ERBB3 ERBB4 FGFR1 FGFR3 FGFR4 FYN KIT KL LCK MTOR NRG1 NRG2 NRG3 PDGFRA PDGFRB PHLPP2 PIK3CA PIK3CB PIK3R1 PTEN RICTOR TNRC6A TNRC6B TRAT1 WWP1 PRL NCOR1 GH2 GHR PRLR STAT5B PGR WWOX"
"Signaling by FGFR"	"AKT2 AKT3 CDKN1B MDM2 FOXO1 FOXO4 PPP2CB PPP2R1A UBB UBC HRAS IL6ST JAK1 JAK2 KRAS MAP2K1 PRKCA FGF1 FGF10 FGF2 FGF20 FGF23 FGFR2 ADCY1 ADCY2 ADCY3 ADCY4 ADCY5 ADCY6 ADCY8 ADCY9 PRKACA SOS1 ADRBK1 AGO1 AGO2 AGO3 AGO4 CBL CD19 CD28 CD80 EGF EGFR ERBB3 ERBB4 FGFR1 FGFR3 FGFR4 FYN ITPR1 ITPR2 ITPR3 KIT KL LCK MTOR NRG1 NRG2 NRG3 PDGFRA PDGFRB PHLPP2 PIK3CA PIK3CB PIK3R1 PLCG1 PTEN RICTOR TNRC6A TNRC6B TRAT1 PRKAR2B PDE1A PDE1C PRKCG FRS3 SPRY2"
"Signaling by FGFR in disease"	"AKT2 AKT3 CDKN1B MDM2 FOXO1 FOXO4 PPP2CB PPP2R1A UBB UBC HRAS IL6ST JAK1 JAK2 KRAS MAP2K1 PRKCA FGF1 FGF10 FGF2 FGF20 FGF23 FGFR2 ADCY1 ADCY2 ADCY3 ADCY4 ADCY5 ADCY6 ADCY8 ADCY9 PRKACA SOS1 ADRBK1 AGO1 AGO2 AGO3 AGO4 CBL CD19 CD28 CD80 EGF EGFR ERBB3 ERBB4 FGFR1 FGFR3 FGFR4 FYN ITPR1 ITPR2 ITPR3 KIT KL LCK MTOR NRG1 NRG2 NRG3 PDGFRA PDGFRB PHLPP2 PIK3CA PIK3CB PIK3R1 PLCG1 PTEN RICTOR TNRC6A TNRC6B TRAT1 FGFR1OP PRKAR2B PDE1A PDE1C PRKCG STAT3 GAB2 STAT5B LRRFIP1 CPSF6 CUX1 FRS3 MYO18A SPRY2 TRIM24 ZMYM2"
"Signaling by FGFR mutants"	"HRAS KRAS FGF1 FGF10 FGF2 FGF20 FGF23 FGFR2 SOS1 FGFR1 FGFR3 FGFR4 PIK3CA PIK3R1 PLCG1 FGFR1OP STAT3 GAB2 STAT5B LRRFIP1 CPSF6 CUX1 MYO18A TRIM24 ZMYM2"
"Signaling by FGFR1 amplification mutants"	"FGFR1"
"Signaling by FGFR1 fusion mutants"	"PIK3CA PIK3R1 PLCG1 FGFR1OP STAT3 GAB2 STAT5B LRRFIP1 CPSF6 CUX1 MYO18A TRIM24 ZMYM2"
"Signaling by FGFR1 mutants"	"FGF1 FGF2 FGF20 FGF23 FGFR1 PIK3CA PIK3R1 PLCG1 FGFR1OP STAT3 GAB2 STAT5B LRRFIP1 CPSF6 CUX1 MYO18A TRIM24 ZMYM2"
"Signaling by FGFR2 amplification mutants"	"FGFR2"
"Signaling by FGFR2 mutants"	"FGF1 FGF10 FGF2 FGF20 FGF23 FGFR2"
"Signaling by FGFR3 mutants"	"FGF1 FGF2 FGF20 FGF23 FGFR3"
"Signaling by FGFR4 mutants"	"FGFR4"
"Signaling by GPCR"	"GNB3 GNG12 GNG2 P2RY1 GNAI1 GNAI3 GNAT3 AKT2 AKT3 PPP2CB PPP2R1A PPP2R1B HRAS IL6ST JAK1 JAK2 KRAS MAP2K1 CCL2 CHRM3 PLCB1 PLCB2 PLCB3 PRKCA RPS6KA1 RPS6KA2 RPS6KA3 C3 C5 GABBR1 GABBR2 ADCY1 ADCY2 ADCY3 ADCY4 ADCY5 ADCY6 ADCY8 ADCY9 PRKCB PRKACA RASGRF2 RASGRP1 RAC1 SOS1 SOS2 ADRBK1 PTCH1 SMO ADCYAP1 ADCYAP1R1 GNAT1 RHO CDC42 EGFR ITPR1 ITPR2 ITPR3 PIK3CA PIK3CB PIK3R1 PRKCQ ADORA1 ADRA2B ADRA1A ADRB3 CHRM2 DRD2 DRD3 DRD4 DRD5 HRH1 HRH2 HTR1A HTR1B HTR1E HTR1F HTR7 TAAR1 TAAR2 PRKAR2B LHB POMC ROCK1 AVPR2 GNAS DAGLA DAGLB SSTR3 FZD1 FZD2 FZD4 FZD5 FZD8 ARHGEF11 ARHGEF12 ITSN1 KALRN NGEF RHOA RHOG ROCK2 TIAM1 TRIO TRPC3 TRPC7 ARHGEF1 CCR2 CXCR4 PDE1A PDE1C PRKCG CALCR ABR AKAP13 ARHGEF16 ARHGEF17 ARHGEF18 ARHGEF4 ARHGEF6 ECT2 FGD1 FGD3 FGD4 MCF2 MCF2L OBSCN PLEKHG2 TIAM2 ACKR2 CCL25 CCL3 CX3CL1 CXCL10 CXCL2 CXCL9 XCR1 ACKR1 AGT AGTR1 APLNR AVPR1A AVPR1B C3AR1 CCKAR CCKBR CCL23 CYSLTR1 CYSLTR2 EDNRB F2RL1 FFAR1 FFAR3 FPR1 FPR2 GALR1 GALR2 GHSR GPBAR1 GPER1 GPR18 GPR37 GPR37L1 GPR39 HCAR3 HCRTR1 HCRTR2 LPAR1 LPAR3 LPAR4 LPAR6 MC1R MC2R MC4R MCHR2 MTNR1B NMB NMBR NMS NPFFR2 NPSR1 NPY NPY1R NPY5R NTSR2 OPRK1 OPRL1 OXER1 P2RY2 PDYN PENK PPY PRLHR PTGDR PTGER2 PTGER3 PTGER4 RGR RRH RXFP1 RXFP2 S1PR2 S1PR4 SSTR1 SSTR2 SSTR4 SUCNR1 TAC3 TACR2 TACR3 TBXA2R TRH TRHR CRHR2 GCG GHRHR GIPR GLP2R PTH PTH1R WNT16 WNT2 WNT3 WNT7A WNT7B WNT9A WNT9B GPRC6A GRM1 GRM2 GRM3 GRM4 GRM5 GRM6 GRM7 GRM8 TAS1R2 TAS1R3 TAS2R1 TAS2R16 TAS2R20 TAS2R39 TAS2R46 TAS2R7 TAS2R8 CSF2RB GAB2 IL2RA IL3 JAK3 PDE4A PDE4C PDE4D DGKB DGKD DGKH DGKI DGKK DGKQ DGKZ GNAZ RGS1 RGS20 RGS21 RGS6 RGS7 ARHGEF25 GRK5 PLCB4 RGS2 PDE10A PDE11A PDE3A PDE3B PDE8B VIP PIK3CG PIK3R5 PIK3R6 OR10A2 OR10A6 OR10C1 OR10G4 OR10G8 OR10H2 OR10H5 OR10K1 OR10K2 OR10Q1 OR10R2 OR10S1 OR10T2 OR10X1 OR10Z1 OR11A1 OR11H6 OR11L1 OR12D2 OR12D3 OR13A1 OR13C4 OR13C5 OR13C8 OR13C9 OR13D1 OR13F1 OR13G1 OR14A16 OR14I1 OR14J1 OR1A2 OR1B1 OR1C1 OR1D2 OR1G1 OR1J2 OR1L1 OR1L4 OR1N1 OR1N2 OR1S1 OR1S2 OR2A12 OR2A2 OR2A25 OR2A7 OR2AG2 OR2AK2 OR2AT4 OR2B11 OR2B6 OR2C3 OR2D2 OR2F2 OR2J2 OR2K2 OR2L13 OR2L3 OR2M3 OR2M4 OR2M5 OR2M7 OR2T1 OR2T11 OR2T12 OR2T27 OR2T3 OR2T34 OR2T4 OR2T5 OR2T6 OR2V2 OR2W1 OR2Z1 OR3A1 OR3A2 OR4A15 OR4A16 OR4A47 OR4A5 OR4C11 OR4C12 OR4C15 OR4C16 OR4C46 OR4C6 OR4D10 OR4D11 OR4D2 OR4D6 OR4K1 OR4K14 OR4K17 OR4K2 OR4K5 OR4M1 OR4N2 OR4N5 OR51A2 OR51A4 OR51A7 OR51B2 OR51B6 OR51F1 OR51G1 OR51I2 OR51M1 OR52A1 OR52B6 OR52D1 OR52E2 OR52E4 OR52H1 OR52I2 OR52J3 OR52K1 OR52K2 OR52M1 OR52N1 OR56A1 OR5A1 OR5A2 OR5AC2 OR5AP2 OR5AR1 OR5AS1 OR5AU1 OR5B21 OR5B3 OR5C1 OR5D13 OR5D14 OR5D16 OR5D18 OR5F1 OR5H1 OR5H14 OR5H15 OR5H2 OR5I1 OR5J2 OR5L1 OR5L2 OR5M10 OR5M3 OR5M8 OR5M9 OR5P2 OR5P3 OR5R1 OR5T1 OR5T3 OR5V1 OR6A2 OR6B1 OR6C4 OR6C65 OR6C74 OR6C76 OR6F1 OR6K2 OR6K6 OR6M1 OR6N1 OR6T1 OR7A17 OR7A5 OR7D4 OR8B12 OR8B3 OR8B4 OR8D2 OR8D4 OR8G1 OR8G5 OR8H2 OR8H3 OR8I2 OR8J1 OR8J3 OR8K5 OR8U1 OR9A2 OR9A4 OR9G4 OR9K2 OR9Q1"
"Signaling by Hedgehog"	"GPC5 CSNK1A1 CUL1 PSMA1 PSMB4 PSMC2 PSMC5 PSMC6 PSMD1 PSMD11 PSMD2 PSMD3 SKP1 UBB UBC ADAM17 ARRB1 NUMB ADCY1 ADCY2 ADCY3 ADCY4 ADCY5 ADCY6 ADCY8 ADCY9 PRKACA ADRBK1 BOC CDON EVC EVC2 IQCE KIF3A PTCH1 SMO CUL3 DYNC2H1 SMURF2 OFD1 PRKAR2B RPGRIP1L GNAS IFT140 IFT172 IFT57 IFT88 WDR19 WDR35 VCP GLI1 GLI2 OS9 SCUBE2 SEL1L SYVN1 GLI3 ADCY10 GPR161 KIF7 DZIP1 SPOP SPOPL"
"Signaling by Hippo"	"YWHAE CASP3 NPHP4 TJP1 TJP2 AMOT AMOTL2 LATS1 SAV1 STK3 WWC1"
"Signaling by Insulin receptor"	"EIF4B EIF4G1 AKT2 PRKAA2 CRK HRAS IL6ST JAK1 JAK2 KRAS MAP2K1 FGF1 FGF10 FGF2 FGF20 FGF23 FGFR2 PRKAB1 SOS1 EIF4EBP1 FGFR1 FGFR3 FGFR4 KL MTOR PIK3CA PIK3CB PIK3R1 RPTOR ATP6V0A4 ATP6V1B1 ATP6V1C2 ATP6V1E1 ATP6V1E2 ATP6V1H TCIRG1 PRKAA1 STRADA STRADB PDE3B DOK1 EEF2K PIK3C3 PIK3R4 RPS6KB1 SHC3 GRB10 INSR"
"Signaling by Interleukins"	"CUL1 SKP1 CRK HRAS IL6ST JAK1 JAK2 KRAS MAP2K1 IKBKB IRAK1 IRAK3 IRAK4 MAP2K6 MAP3K7 NFKB1 NOD1 TAB1 TAB2 YWHAZ PRKACA SOS1 BLNK CBL FYN INPP5D LCK LYN PIK3CA PIK3CB PIK3R1 SYK YES1 IL1A STAT3 CSF2RB GAB2 HGF IL1R1 IL1RAP IL2RA IL3 IL7R INPPL1 JAK3 STAT5B"
"Signaling by Leptin"	"HRAS IL6ST JAK1 JAK2 KRAS MAP2K1 STAT3 STAT5B LEPR"
"Signaling by Ligand-Responsive EGFR Variants in Cancer"	"AKT2 AKT3 CDKN1B MDM2 FOXO1 FOXO4 UBB UBC HRAS IL6ST JAK1 JAK2 KRAS MAP2K1 PRKCA ADAM17 FGF1 FGF10 FGF2 FGF20 FGF23 FGFR2 ADCY1 ADCY2 ADCY3 ADCY4 ADCY5 ADCY6 ADCY8 ADCY9 PRKACA SOS1 ADRBK1 AGO1 AGO2 AGO3 AGO4 AP2A1 AP2B1 CBL CD19 CD28 CD80 CDC42 EGF EGFR ERBB3 ERBB4 FGFR1 FGFR3 FGFR4 FYN ITPR1 ITPR2 ITPR3 KIT KL LCK MTOR NRG1 NRG2 NRG3 PDGFRA PDGFRB PHLPP2 PIK3CA PIK3CB PIK3R1 PLCG1 PTEN RICTOR SH3GL2 SH3KBP1 TNRC6A TNRC6B TRAT1 PRKAR2B PDE1A PDE1C PRKCG ADAM12 EPN1 EPS15 EPS15L1 SPRY1 SPRY2"
"Signaling by NODAL"	"ACVR1B ACVR1C ACVR2A LEFTY2 SMAD2 SMAD3 SMAD4"
"Signaling by NOTCH"	"APH1A NOTCH1 NOTCH2 NOTCH3 NOTCH4 CUL1 SKP1 TLE2 UBB UBC ADAM17 ARRB1 CNTN1 DLK1 DLL1 DNER DTX1 JAG1 JAG2 MIB1 NUMB TFDP1 TP53 CREBBP TBL1X AGO1 AGO2 AGO3 AGO4 FBXW7 TNRC6A TNRC6B ST3GAL3 ST3GAL4 ST3GAL6 HDAC6 EP300 HDAC3 NCOR1 MYC HIF1A KAT2B NCOR2 HDAC9 HEY2 HEYL MAML3 MAMLD1 RBPJ SNW1 SEL1L ATP2A1 ATP2A2 ATP2A3 FCER2 LFNG POGLUT1 RFNG"
"Signaling by NOTCH1"	"APH1A NOTCH1 CUL1 SKP1 TLE2 UBB UBC ADAM17 ARRB1 CNTN1 DLK1 DLL1 DNER DTX1 JAG1 JAG2 MIB1 NUMB CREBBP TBL1X FBXW7 HDAC6 EP300 HDAC3 NCOR1 MYC HIF1A KAT2B NCOR2 HDAC9 HEY2 HEYL MAML3 MAMLD1 RBPJ SNW1"
"Signaling by NOTCH1 HD Domain Mutants in Cancer"	"APH1A NOTCH1 CUL1 SKP1 TLE2 UBB UBC ADAM17 ARRB1 CNTN1 DLK1 DLL1 DNER DTX1 JAG1 JAG2 MIB1 NUMB CREBBP TBL1X FBXW7 HDAC6 EP300 HDAC3 NCOR1 MYC HIF1A KAT2B NCOR2 HDAC9 HEY2 HEYL MAML3 MAMLD1 RBPJ SNW1"
"Signaling by NOTCH1 HD+PEST Domain Mutants in Cancer"	"APH1A NOTCH1 CUL1 SKP1 TLE2 UBB UBC ADAM17 ARRB1 CNTN1 DLK1 DLL1 DNER DTX1 JAG1 JAG2 MIB1 NUMB CREBBP TBL1X FBXW7 HDAC6 EP300 HDAC3 NCOR1 MYC HIF1A KAT2B NCOR2 HDAC9 HEY2 HEYL MAML3 MAMLD1 RBPJ SNW1"
"Signaling by NOTCH1 PEST Domain Mutants in Cancer"	"APH1A NOTCH1 CUL1 SKP1 TLE2 UBB UBC ADAM17 ARRB1 CNTN1 DLK1 DLL1 DNER DTX1 JAG1 JAG2 MIB1 NUMB CREBBP TBL1X FBXW7 HDAC6 EP300 HDAC3 NCOR1 MYC HIF1A KAT2B NCOR2 HDAC9 HEY2 HEYL MAML3 MAMLD1 RBPJ SNW1"
"Signaling by NOTCH1 in Cancer"	"APH1A NOTCH1 CUL1 SKP1 TLE2 UBB UBC ADAM17 ARRB1 CNTN1 DLK1 DLL1 DNER DTX1 JAG1 JAG2 MIB1 NUMB CREBBP TBL1X FBXW7 HDAC6 EP300 HDAC3 NCOR1 MYC HIF1A KAT2B NCOR2 HDAC9 HEY2 HEYL MAML3 MAMLD1 RBPJ SNW1"
"Signaling by NOTCH1 t(7;9)(NOTCH1:M1580_K2555) Translocation Mutant"	"APH1A NOTCH1 CUL1 SKP1 TLE2 UBB UBC ADAM17 ARRB1 CNTN1 DLK1 DLL1 DNER DTX1 JAG1 JAG2 MIB1 NUMB CREBBP TBL1X FBXW7 HDAC6 EP300 HDAC3 NCOR1 MYC HIF1A KAT2B NCOR2 HDAC9 HEY2 HEYL MAML3 MAMLD1 RBPJ SNW1"
"Signaling by NOTCH2"	"APH1A NOTCH2 UBB UBC CNTN1 DLL1 JAG1 JAG2 MIB1 EP300 MAML3 MAMLD1 RBPJ FCER2"
"Signaling by NOTCH3"	"APH1A NOTCH3 DLL1 JAG1 JAG2"
"Signaling by NOTCH4"	"APH1A NOTCH4 DLL1 JAG1 JAG2"
"Signaling by Overexpressed Wild-Type EGFR in Cancer"	"AKT2 AKT3 CDKN1B MDM2 FOXO1 FOXO4 UBB UBC HRAS IL6ST JAK1 JAK2 KRAS MAP2K1 PRKCA ADAM17 FGF1 FGF10 FGF2 FGF20 FGF23 FGFR2 ADCY1 ADCY2 ADCY3 ADCY4 ADCY5 ADCY6 ADCY8 ADCY9 PRKACA SOS1 ADRBK1 AGO1 AGO2 AGO3 AGO4 AP2A1 AP2B1 CBL CD19 CD28 CD80 CDC42 EGF EGFR ERBB3 ERBB4 FGFR1 FGFR3 FGFR4 FYN ITPR1 ITPR2 ITPR3 KIT KL LCK MTOR NRG1 NRG2 NRG3 PDGFRA PDGFRB PHLPP2 PIK3CA PIK3CB PIK3R1 PLCG1 PTEN RICTOR SH3GL2 SH3KBP1 TNRC6A TNRC6B TRAT1 PRKAR2B PDE1A PDE1C PRKCG ADAM12 EPN1 EPS15 EPS15L1 SPRY1 SPRY2"
"Signaling by PDGF"	"AKT2 AKT3 CDKN1B MDM2 FOXO1 FOXO4 CRK HRAS IL6ST JAK1 JAK2 KRAS MAP2K1 PRKCA FGF1 FGF10 FGF2 FGF20 FGF23 FGFR2 ADCY1 ADCY2 ADCY3 ADCY4 ADCY5 ADCY6 ADCY8 ADCY9 PLG PRKACA NCK2 SOS1 ADRBK1 AGO1 AGO2 AGO3 AGO4 CD19 CD28 CD80 EGF EGFR ERBB3 ERBB4 FGFR1 FGFR3 FGFR4 FYN ITPR1 ITPR2 ITPR3 KIT KL LCK MTOR NRG1 NRG2 NRG3 PDGFRA PDGFRB PHLPP2 PIK3CA PIK3CB PIK3R1 PLCG1 PTEN RICTOR TNRC6A TNRC6B TRAT1 PRKAR2B COL4A2 COL4A3 COL4A4 COL4A5 COL6A2 COL6A3 COL6A5 COL6A6 COL9A2 RASA1 PDE1A PDE1C PRKCG GRB7 STAT3 STAT5B STAT6 BCAR1 THBS1 THBS2 PDGFD THBS4"
"Signaling by Retinoic Acid"	"RXRA ADH4 CYP26A1 CYP26B1 CPT1A RDH11 CPT1B RARA RARG RXRG PDHA1 PDHX PDK4 CRABP2 ALDH1A2 DHRS4 FABP5"
"Signaling by Rho GTPases"	"RASGRF2 SOS1 SOS2 CDC42 RACGAP1 ARHGAP10 ARHGAP35 ARHGAP39 ARHGEF11 ARHGEF12 ITSN1 KALRN NGEF RHOA RHOG SRGAP1 TIAM1 TRIO ABR AKAP13 ARHGEF16 ARHGEF17 ARHGEF18 ARHGEF4 ARHGEF6 ECT2 FGD1 FGD3 FGD4 MCF2 MCF2L OBSCN PLEKHG2 TIAM2 OCRL A2M MYO9B INPP5B ARAP2 ARAP3 ARHGAP1 ARHGAP12 ARHGAP17 ARHGAP18 ARHGAP26 ARHGAP28 ARHGAP29 ARHGAP30 ARHGAP31 ARHGAP32 ARHGAP36 ARHGAP44 ARHGAP5 ARHGAP6 ARHGAP9 CHN1 CHN2 DEPDC7 DLC1 FAM13B GDI1 GMIP HMHA1 MYO9A RHOBTB1 RHOT2 RHOU STARD13 SYDE1 SYDE2"
"Signaling by Robo receptor"	"NCK2 PAK3 PAK6 PAK7 RAC1 ROBO1 SLIT2 SOS1 SOS2 CDC42 VASP ABL2 ARHGAP39 ROBO2 SRGAP1"
"Signaling by SCF-KIT"	"AKT2 AKT3 CDKN1B MDM2 FOXO1 FOXO4 HRAS IL6ST JAK1 JAK2 KRAS MAP2K1 PRKCA FGF1 FGF10 FGF2 FGF20 FGF23 FGFR2 CMA1 RAC1 SOS1 AGO1 AGO2 AGO3 AGO4 CBL CD19 CD28 CD80 EGF EGFR ERBB3 ERBB4 FGFR1 FGFR3 FGFR4 FYN GRAP2 KIT KL LCK LYN MTOR NRG1 NRG2 NRG3 PDGFRA PDGFRB PHLPP2 PIK3CA PIK3CB PIK3R1 PTEN RICTOR TNRC6A TNRC6B TRAT1 YES1 GRB7 STAT3 GAB2 STAT5B GRB10 SOCS6 FER PTPRU"
"Signaling by TGF-beta Receptor Complex"	"UBB UBC TFDP1 SP1 CBL RNF111 SMURF2 STUB1 RHOA NCOR1 SERPINE1 E2F4 E2F5 MYC RBL1 XPO1 ARHGEF18 PARD3 NCOR2 SMAD2 SMAD3 SMAD4 CCNT2 CGN NEDD8 PRKCZ TGFBR1 TGFBR2 USP15 USP9X ZFYVE9"
"Signaling by TGF-beta Receptor Complex in Cancer"	"UBB UBC TFDP1 SP1 CBL RNF111 SMURF2 STUB1 RHOA NCOR1 SERPINE1 E2F4 E2F5 MYC RBL1 XPO1 ARHGEF18 PARD3 NCOR2 SMAD2 SMAD3 SMAD4 CCNT2 CGN NEDD8 PRKCZ TGFBR1 TGFBR2 USP15 USP9X ZFYVE9"
"Signaling by Type 1 Insulin-like Growth Factor 1 Receptor (IGF1R)"	"EIF4B EIF4G1 AKT2 PRKAA2 HRAS IL6ST JAK1 JAK2 KRAS MAP2K1 FGF1 FGF10 FGF2 FGF20 FGF23 FGFR2 PRKAB1 SOS1 EIF4EBP1 FGFR1 FGFR3 FGFR4 KL MTOR PIK3CA PIK3CB PIK3R1 RPTOR PRKAA1 STRADA STRADB PDE3B DOK1 EEF2K IGF1R PIK3C3 PIK3R4 RPS6KB1 SHC3"
"Signaling by VEGF"	"AKT2 AKT3 CTNNB1 CRK HRAS IL6ST JAK1 JAK2 KRAS MAP2K1 PRKCA MAPKAPK3 PRKCB PRKACA NCK2 PAK3 RAC1 CDC42 CYBB FYN ITGAV ITPR1 ITPR2 ITPR3 MTOR NCF4 PIK3CA PIK3CB PIK3R1 PLCG1 RICTOR CDH5 CTNNA1 CTNND1 JUP PTK2 ROCK1 DOCK1 ITGB3 KDR NRP1 NRP2 RASA1 RHOA ROCK2 MAPK13 ELMO1 NOS3 PRKCZ BCAR1 ABI2 CYFIP2 ELMO2 NCKAP1 WASF1 VEGFC FLT1 AXL FLT4"
"Signaling by WNT in cancer"	"AKT2 AMER1 APC AXIN2 CSNK1A1 CTBP2 CTNNB1 CUL1 PPP2CB PPP2R1A PPP2R1B PPP2R5A PPP2R5C PSMA1 PSMB4 PSMC2 PSMC5 PSMC6 PSMD1 PSMD11 PSMD2 PSMD3 SKP1 TCF7L1 TLE2 UBB UBC YWHAZ CREBBP CUL3 SMURF2 H2AFZ HIST1H2AB HIST1H2AC HIST1H2BD HIST1H2BK HIST1H2BL HIST1H2BM HIST1H2BN CSNK1E FZD1 FZD2 FZD4 FZD5 FZD8 EP300 CSNK2A1 TCF4 HIST3H3 MYC TERT XPO1 ASH2L KAT5 KMT2D SMARCA4 TRRAP WNT16 WNT2 WNT3 WNT7A WNT7B WNT9A WNT9B DKK1 BCL9 BCL9L CCDC88C CHD8 CXXC4 DACT1 DKK2 DVL3 HECW1 LGR4 LGR5 LRP6 PIP5K1B RSPO2 RSPO3 RYK TNKS TNKS2 USP34 USP8 VPS29 VPS35 WLS ZNRF3"
